name,email,jurisdiction__slug,address,contact,url,classification,tags,request_note,website_dump,description,parent__name
AStA Universität Hohenheim,asta@uni-hohenheim.de,baden-wurttemberg,"Kirchnerstraße 5, 70593 Stuttgart",Tel. +49 (0)711 459-22060,https://asta.uni-hohenheim.de/,AStA,,,,,
AStA am Karlsruher Institut für Technologie,info@asta-kit.de,baden-wurttemberg,"Adenauerring 7, 76131 Karlsruhe","Tel. 0721/608-48460, Fax 0721/608-48470",http://www.asta-kit.de/,AStA,,,,,
AStA Universität Konstanz,asta@uni.kn,baden-wurttemberg,"Fach D56, 78457 Konstanz","Tel. +49 (0)7531 / 88 - 2517, Fax +49 (0)7531 / 88 - 3307",http://www.asta.uni-konstanz.de/,AStA,,,,,
AStA Universität Mannheim,asta@uni-mannheim.de,baden-wurttemberg,"L 9, 7, 68131 Mannheim",Tel. +49 621 / 181 - 3373,http://www.asta.uni-mannheim.de/,AStA,,,,,
Stuvus der Universität Stuttgart,verwaltung@stuvus.uni-stuttgart.de,baden-wurttemberg,"Keplerstr. 17 (K II), 70174 Stuttgart","Tel. 0711/685 - 83055, Fax 0711/685 - 51051",http://www.stuvus.uni-stuttgart.de/,AStA,,,,,
StudierendenExektutive der Universität Ulm,stuve.kontakt@uni-ulm.de,baden-wurttemberg,"Albert-Einstein-Allee 11, 89081 Ulm","Tel. +49 (0) 731/50-22401, Fax +49 (0) 731/50-22403",http://www.uni-ulm.de/stuve/struktur/stex.html,AStA,,,,,
RefRat der Humboldt-Universität zu Berlin,refrat@refrat.hu-berlin.de,berlin,"Unter den Linden 6, 10099 Berlin","Tel. (030) 2093-46662, Fax (030) 2093-2396",http://www.refrat.de/,AStA,,,,,
AStA der Technischen Universität Berlin,buero@asta.tu-berlin.de,berlin,"Sekretariat TK 2, Straße des 17. Juni 135, 10623 Berlin","Tel. +49 30 314 25683, Fax +49 30 314 28714",https://asta.tu-berlin.de,AStA,,,,,
AStA der Universität der Künste Berlin (Finanzreferat),finanzen@asta-udk-berlin.de,berlin,"Hardenbergstraße 33 (Raum 9), 10623 Berlin","Tel. (030) 31 85 24 64, Fax (030) 31 85 26 70",http://asta-udk-berlin.de/,AStA,,,,,
StuRa Brandenburgische Technische Universität Universität Cottbus-Senftenberg (Büro Cottbus),office@stura-cottbus.de,brandenburg,"Hubertstr. 15 , 03044 Cottbus","Tel. 0355 69 2200, Fax 0355 69 2295",http://www.stura-btu.de/,AStA,,,,,
StuRa Brandenburgische Technische Universität Universität Cottbus-Senftenberg (Büro Senftenberg),office@stura-senftenberg.de,brandenburg,"Großenhainer Straße 57 (Gebäude 7, Raum 109), 01968 Senftenberg","Tel. 03573 85 295, Fax 03573 85 296",http://www.stura-btu.de/,AStA,,,,,
AStA der Europa-Universität Viadrina Frankfurt (Oder),asta@europa-uni.de,brandenburg,"Große Scharrnstraße 17a , 15230 Frankfurt (Oder)","Tel. 0335 5657 434, Fax 0335 5657 437",http://www.asta-viadrina.de/,AStA,,,,,
AStA der Universität Bremen,asta@uni-bremen.de,bremen,"Bibliothekstraße 3/StH (Raum A2060), 28359 Bremen","Tel. (0421) 218 69733, Fax (0421) 218 69734",http://www.asta.uni-bremen.de/,AStA,,,,,
Studentischer Konvent der Helmut-Schmidt-Universität Hamburg,vorsitz-konvent@hsu-hh.de,hamburg,"Postfach 700822, 22008 Hamburg",Tel. 040 - 6541 3131,http://www.hsu-hh.de/konvent/,AStA,,,,,
AStA der Technischen Universität Hamburg-Harburg,oeffentliches@asta.tu-harburg.de,hamburg,"Schwarzenbergstrasse 95 E (Raum 0.069), 21073 Hamburg","Tel. (040) 42878-3764, Fax (040) 42878-2564",http://asta.tu-harburg.de/,AStA,,,,,
AStA TU Darmstadt,service@asta.tu-darmstadt.de ,hessen,"Hochschulstraße 1, 64289 Darmstadt",Tel. +49 (0) 6151 - 1628360,https://www.asta.tu-darmstadt.de,AStA,,,,,
AStA der Johann Wolfgang Goethe-Universität,info@asta.uni-frankfurt.de,hessen,"Mertonstraße 26-28, 60325 Frankfurt am Main","Tel. +49 (069) 798-23181, Fax +49 (069) 702039",http://asta-frankfurt.de/,AStA,,,,,
AStA der JLU Gießen,buero@asta-giessen.de,hessen,"Otto-Behaghel-Str. 25 (Haus D), 35394 Gießen",Tel. 0641 99 14800 ,http://www.asta-giessen.de/,AStA,,,,,
AStA der Philipps-Universität Marburg,vorstand@asta-marburg.de,hessen,"Erlenring 5, 35037 Marburg","Tel. +49 (0)6421-1703-0, Fax +49 (0)6421-1703-33",http://www.asta-marburg.de/,AStA,,,,,
AStA der Universität Kassel,info@asta-kassel.de,hessen,"Nora-Platiel-Str. 2, 34127 Kassel","Tel. 0561 804-2886, Fax 0561 804-2885",http://asta-kassel.de/,AStA,,,,,
AStA der Universität Greifswald,asta@uni-greifswald.de,mecklenburg-vorpommern,"Friedrich-Loeffler-Straße 28, 17489 Greifswald","Tel. +49 (0)3834 86-1750/51, Fax +49 (0)3834 86-1752",http://asta-greifswald.de/,AStA,,,,,
AStA der Universität Rostok,asta@uni-rostock.de,mecklenburg-vorpommern,"Parkstraße 6, 18057 Rostock",Tel. +49 (0) 381 498 5601,http://asta-rostock.de/,AStA,,,,,
AStA der TU Braunschweig,asta@tu-braunschweig.de,niedersachsen,"Katharinenstraße 1, 38106 Braunschweig","Tel. +49 (0)531 391-4555, Fax +49 (0)531 342192",https://www.asta.tu-braunschweig.de,AStA,,,,,
AStA der TU Clausthal,asta@tu-clausthal.de,niedersachsen,"Silberstr. 1, 38678 Clausthal-Zellerfeld","Tel. 05323 - 72 2060, Fax 05323 - 72 3809",https://www.asta.tu-clausthal.de/,AStA,,,,,
AStA Universität Göttingen,vorsitz@asta.uni-goettingen.de,niedersachsen,"Goßlerstraße 16a, 37073 Göttingen",Tel. +49 (0)551 / 39-4568,http://asta.uni-goettingen.de/,AStA,,,,,
AStA Universität Hannover,info@asta-hannover.de,niedersachsen,"Welfengarten 1, 30167 Hannover","Tel. 0511 / 762 5061 , Fax 0511 / 717441",http://www.asta-hannover.de/,AStA,,,,,
AStA Stiftung Universität Hildesheim,kontakt@asta-hildesheim.de,niedersachsen,"Universitätsplatz 1, 31141 Hildesheim","Tel. +49 5121 883 901 84, Fax +49 5121 883 901 80",http://asta-hildesheim.de/,AStA,,,,,
AStA der Universität Lüneburg,buero@asta-lueneburg.de,niedersachsen,"Scharnhorststraße 1, 21335 Lüneburg","Tel. 04131 - 677 1510, Fax 04131 - 402952",http://www.asta-lueneburg.de/,AStA,,,,,
AStA der Carl von Ossietzky Universität Oldenburg,vorstand@asta-oldenburg.de,niedersachsen,"Uhlhornsweg 49–55, 26111 Oldenburg","Tel. +49 (441)/798-2573, Fax +49 (441)/798-3164",http://asta-oldenburg.de/,AStA,,,,,
AStA der Universität Osnabrück,asta@uos.de,niedersachsen,"Alte Münze 12, 49074 Osnabrück","Tel. 0541-969-4872, Fax 0541-969-4808",http://www.asta.uni-osnabrueck.de,AStA,,,,,
AStA der Universität Vechta,asta@asta-uni-vechta.de,niedersachsen,"Driverstr. 22, 49377 Vechta",Tel. 04441 / 22 04,http://www.asta-uni-vechta.de/,AStA,,,,,
AStA der RWTH Aachen,asta@asta.rwth-aachen.de,nrw,"Pontwall 3, 52062 Aachen",Tel. 0241 - 80 93 79 2,https://www.asta.rwth-aachen.de,AStA,,,,,
AStA der Universität Bielefeld,info@asta-bielefeld.de,nrw,"Postfach 10 01 31, 33501 Bielefeld","Tel. +49 521 106 3423, Fax +49 521 106 6499",http://www.asta-bielefeld.de/,AStA,,,,,
AStA der Ruhr-Universität Bochum,service@asta-bochum.de,nrw,"Universitätsstraße 150, 44801 Bochum","Tel. 0234/32-22416, Fax 0234/701623",https://asta-bochum.de/,AStA,,,,,
AStA der Universität Bonn,info@asta.uni-bonn.de,nrw,"Nassestr. 11, 53113 Bonn","Tel. (0228) 73-7030, Fax (0228) 262210",http://www.asta-bonn.de/,AStA,,,,,
AStA TU Dortmund,asta@tu-dortmund.de,nrw,"Emil-Figge-Str. 50, 44221 Dortmund","Tel. +49 231 755 2584, Fax +49 231 755 5143",http://asta-dortmund.de/,AStA,,,,,
AStA der Heinrich-Heine-Universität Düsseldorf,vorstand@asta.hhu.de,nrw,"Universitätsstraße 1 (Gebäude 25.23.U1), 40225 Düsseldorf",Tel. 0211 / 81 13 172,http://www.asta.uni-duesseldorf.de/,AStA,,,,,
AStA Folkwang Universität der Künste,asta@folkwang-uni.de,nrw,,Tel. +49 (0) 2014903 190,http://www.folkwang-uni.de/de/home/hochschule/organisation/gremien/asta/,AStA,,,,,
AStA Universität Duisburg-Essen (Standort Essen),info@asta-due.de,nrw,"Universitätsstraße 2, 45141 Essen","Tel. 0201 183-2349, Fax 0201 183-4714",http://www.asta-due.de/,AStA,,,,,
AStA Universität Duisburg-Essen (Standort Duisburg),info@asta-due.de,nrw,"Lotharstraße 65, 47048 Duisburg",,http://www.asta-due.de/,AStA,,,,,
AStA Universität zu Köln,kontakt@asta.uni-koeln.de,nrw,"Universitätsstr. 16, 50937 Köln",0221 470 2993,http://www.asta.uni-koeln.de/,AStA,,,,,
AStA der Universität Münster,asta@uni-muenster.de,nrw,"Schlossplatz 1, 48149 Münster",+49 251 83 22285,http://www.asta.ms/,AStA,,,,,
AStA Paderborn,info@asta.upb.de,nrw,"Warburger Str. 100, 33098 Paderborn",(05251) 60-3174,http://asta.uni-paderborn.de/,AStA,,,,,
AStA der Universität Siegen,asta@uni-siegen.de,nrw,"Adolf-Reichwein-Straße 2, 57068 Siegen",0271/740-4600,http://www.asta.uni-siegen.de/,AStA,,,,,
AStA der Bergischen Universität Wuppertal,asta@asta.uni-wuppertal.de,nrw,"Gaußstr. 20, 42119 Wuppertal",0202 / 24258 00,http://www.asta-wuppertal.de/,AStA,,,,,
AStA der Universität Mainz,sekretariat@asta.uni-mainz.de,rheinland-pfalz,"Staudingerweg 21, 55128 Mainz",06131/39-24801,https://www.blogs.uni-mainz.de/asta/,AStA,,,,,
AStA TU Kaiserslautern,info@asta.uni-kl.de,rheinland-pfalz,"Erwin-Schrödinger-Straße, Gebäude 46 Raum 205, 67663 Kaiserslautern",0631 205-2228,http://www.asta.uni-kl.de/,AStA,,,,,
AStA der Universität Koblenz-Landau,asta@uni-koblenz.de,rheinland-pfalz,"Universitätsstraße 1, Gebäude N, 56070 Koblenz",0261 / 287 - 1667,http://asta.uni-koblenz.de,AStA,,,,,
AStA der Universität Trier,astakomi@uni-trier.de,rheinland-pfalz,"Universitätsring 12b, 54296 Trier",0651 201 3570,http://asta-trier.de/,AStA,,,,,
AStA der Universität des Saarlandes,sekretariat@asta.uni-saarland.de,saarland,"Campus A5.2, 66123 Saarbrücken",+49 681 302 2900,https://asta.uni-saarland.de/,AStA,,,,,
StuRa TU Bergakademie Freiberg,info@stura.tu-freiberg.de,sachsen,"Agricolastraße 10, 09596 Freiberg",03731 / 39-3447,https://www.stura.tu-freiberg.de,AStA,,,,,
StuRa der Technischen Universität Chemnitz,stura@tu-chemnitz.de,sachsen,"Thüringer Weg 11, Zi. 006, 09126 Chemnitz",+49 371 531-16000,https://www.tu-chemnitz.de/stura/,AStA,,,,,
StuRa TU Dresden,stura@stura.tu-dresden.de,sachsen,"George-Bähr-Str. 1e, 01069 Dresden",+49 351 463-32042,https://www.stura.tu-dresden.de/,AStA,,,,,
StuRa der Universität Leipzig,gf@stura.uni-leipzig.de,sachsen,"Universitätsstraße 1, 04109 Leipzig",+49 (0)341 97 37 850,http://stura.uni-leipzig.de/,AStA,,,,,
StuRa Martin-Luther-Universität Halle-Wittenberg,stura@uni-halle.de,sachsen-anhalt,"Universitätsplatz 7 , 06099 Halle (Saale)",0345 55 214 11,http://www.stura.uni-halle.de/,AStA,,,,,
StuRa der Otto-von-Guericke-Universität Magdeburg,stura@ovgu.de,sachsen-anhalt,"Universitätsplatz 2 (Gebäude 26), 39106 Magdeburg",0391 67 18971,http://www.stura-md.de/,AStA,,,,,
AStA der Universität Kiel,info@asta.uni-kiel.de,schleswig-holstein,"Westring 385, 24118 Kiel",0431 - 880 2647,http://www.asta.uni-kiel.de/,AStA,,,,,
AStA der Universität Flensburg,asta@uni-flensburg.de,schleswig-holstein,"Auf dem Campus 1, 24943 Flensburg",+49 (0)461 - 805 - 2133 ,http://flensburg-studieren.de/de/uni/asta/aktuelles,AStA,,,,,
AStA der Universität zu Lübeck,info@asta.uni-luebeck.de,schleswig-holstein,"Ratzeburger Allee 160 (Haus 24), 23562 Lübeck",+49 451 3101 1971,https://www.asta.uni-luebeck.de/,AStA,,,,,
StuKo der Bauhaus-Universität Weimar,stuko@uni-weimar.de,thueringen,"Marienstraße 18, 99423 Weimar",+49(0)36 43 / 58 30 19,https://m18.uni-weimar.de/stuko,AStA,,,,,
StuRa der Friedrich-Schiller-Universität Jena,buero@stura.uni-jena.de,thueringen,"Carl-Zeiss-Str. 3, 07743 Jena",(03641) 9 30 993,https://www.stura.uni-jena.de,AStA,,,,,
StuRa Technische Universität Ilmenau,stura@tu-ilmenau.de,thueringen,"Max-Planck-Ring 7, 98693 Ilmenau",03677/69-1914,http://stura.tu-ilmenau.de/,AStA,,,,,
StuRa der Universität Erfurt,stura.vorstand@uni-erfurt.de,thueringen,"Postfach 900 221, 99105 Erfurt",+49 361 737-1890,https://www.uni-erfurt.de/studierendenrat/,AStA,,,,,
