other_names,name,email,url,jurisdiction__slug,address,contact,classification,tags,request_note,website_dump,description,parent__name
,Notarkammer Brandenburg,sekretariat@notarkammer-brandenburg.de,http://www.notarkammer-brandenburg.de/,brandenburg,,,Kammer,,,,,
,Rechtsanwaltskammer Brandenburg,info@rak-brb.de,www.rak-brb.de,brandenburg,,,Kammer,,,,,
,Steuerberaterkammer Brandenburg,info@stbk-brandenburg.de,http://www.stbk-brandenburg.de,brandenburg,,,Kammer,,,,,
,Tierärztekammer Brandenburg,kontakt@ltk-brandenburg.de,http://www.ltk-brandenburg.de,brandenburg,,,Kammer,,,,,
,Zahnärztekammer Brandenburg,info@lzkb.de,http://www.lzkb.de/,brandenburg,,,Kammer,,,,,
HWK Cottbus,Handwerkskammer Cottbus,deutscher@hwk-cottbus.de,,brandenburg,,,Kammer,,,,,
HWK Neubrandenburg / Rostock,Handwerkskammer Neubrandenburg / Rostock,alder.claudia@hwk-omv.de,,brandenburg,,,Kammer,,,,,
HWK Potsdam,Handwerkskammer Potsdam,heidi.goldmann@hwkpotsdam.de,,brandenburg,,,Kammer,,,,,
IHK Cottbus,Industrie- und Handelskammer Cottbus,krueger@cottbus.ihk.de,,brandenburg,,,Kammer,,,,,
IHK Frankfurt (Oder) / Ostbrandenburg,Industrie- und Handelskammer Frankfurt (Oder) / Ostbrandenburg,moeller@ihk-ostbrandenburg.de,,brandenburg,,,Kammer,,,,,
IHK Neubrandenburg,Industrie- und Handelskammer Neubrandenburg,bodo.lubensky@neubrandenburg.ihk.de,,brandenburg,,,Kammer,,,,,
IHK Potsdam,Industrie- und Handelskammer Potsdam,gottschling@potsdam.ihk.de,,brandenburg,,,Kammer,,,,,
,Arbeitnehmerkammer Bremen,schierenbeck@arbeitnehmerkammer.de,http://www.arbeitnehmerkammer.de/,bremen,,,Kammer,,,,,
,Architektenkammer Bremen,info@architektenkammer-bremen.de,http://www.architektenkammer-bremen.de/,bremen,,,Kammer,,,,,
,Ärztekammer Bremen,info@aekhb.de,https://www.aekhb.de/,bremen,,,Kammer,,,,,
,Hafenlotsengesellschaft Bremerhaven,hafenlotsen@bremerhavenpilot.de,http://www.bremerhavenpilot.de/,bremen,,,Kammer,,,,,
,Ingenieurkammer Bremen,info@ingenieurkammer-bremen.de,http://www.ingenieurkammer-bremen.de/,bremen,,,Kammer,,,,,
,Landwirtschaftskammer Bremen,bredemeier@lwk-bremen.de,http://www.lwk-bremen.de/,bremen,,,Kammer,,,,,
,Lotsenbrüderschaft Weser I,info@weserriverpilot.com,http://www.weserriverpilot.com/,bremen,,,Kammer,,,,,
,Notarkammer Bremen,kontakt@notk-bremen.de,http://www.anwaltsnotarkammern.de/bremen-_65.html,bremen,,,Kammer,,,,,
,Psychotherapeutenkammer Bremen,verwaltung@pk-hb.de,www.lpk-hb.de,bremen,,,Kammer,,,,,
,Rechtsanwaltskammer Hanseatische Bremen,kontakt@rak-bremen.de,www.rak-bremen.de,bremen,,,Kammer,,,,,
,Steuerberaterkammer Bremen,info@stbkammer-bremen.de,http://www.stbkammer-bremen.de,bremen,,,Kammer,,,,,
,Tierärztekammer Bremen,Elisabeth.Oltmann@veterinaer.bremen.de,http://www.bundestieraerztekammer.de/index_ltk_bremen.php,bremen,,,Kammer,,,,,
,Zahnärztekammer Bremen,info@zaek-hb.de,http://www.zaek-hb.de/,bremen,,,Kammer,,,,,
HWK Bremen,Handwerkskammer Bremen,service@hwk-bremen.de,,bremen,,,Kammer,,,,,
IHK Bremen,Industrie- und Handelskammer Bremen,fonger@handelskammer-bremen.de,,bremen,,,Kammer,,,,,
,Bundeslotsenkammer,office@bundeslotsenkammer.de,http://www.bundeslotsenkammer.de/,bund,,,Kammer,,,,,
,Bundesnotarkammer,bnotk@bnotk.de,http://www.bnotk.de,bund,,,Kammer,,,,,
,Bundesrechtsanwaltskammer,zentrale@brak.de,http://www.brak.de,bund,,,Kammer,,,,,
,Bundessteuerberaterkammer,zentrale@bstbk.de,http://www.bstbk.de,bund,,,Kammer,,,,,
,Patentanwaltskammer,dpak@patentanwalt.de,http://www.patentanwalt.de/,bund,,,Kammer,,,,,
,Psychotherapeutenkammer Ostdeutschland,info@opk-info.de,http://www.opk-info.de/,bund,,,Kammer,,,,,
,Rechtsanwaltskammer beim Bundesgerichtshof,kontakt@rak-bgh.de,www.rak-bgh.de,bund,,,Kammer,,,,,
,Wirtschaftsprüferkammer,kontakt@wpk.de,http://www.wpk.de,bund,,,Kammer,,,,,
,Bayerischer Bauernverband,Kontakt@BayerischerBauernVerband.de,http://www.bayerischerbauernverband.de/,bayern,,,Kammer,,,,,
,Hafenlotsenbrüderschaft Hamburg,postmaster@hamburg-pilot.de,http://www.hamburg-pilot.de/,hamburg,,,Kammer,,,,,
,Ingenieurkammer Hamburg,kontakt@hikb.de,http://www.hikb.de/,hamburg,,,Kammer,,,,,
,Lotsenbrüderschaft Elbe,lbe-hamburg@elbe-pilot.de,http://www.elbe-pilot.de,hamburg,,,Kammer,,,,,
,Rechtsanwaltskammer Hanseatische Hamburg,info@rechtsanwaltskammerhamburg.de,www.rak-hamburg.de,hamburg,,,Kammer,,,,,
IHK Hamburg,Industrie- und Handelskammer Hamburg,Joern.Arfs@hk24.de,,hamburg,,,Kammer,,,,,
,Apothekerkammer Hessen,info@apothekerkammer.de,http://www.apothekerkammer.de,hessen,,,Kammer,,,,,
,Architektenkammer Hessen,info@akh.de Wolfgang Haack,www.AKH.de,hessen,,,Kammer,,,,,
,Ärztekammer Hessen,info@laekh.de,http://www.laekh.de/,hessen,,,Kammer,,,,,
,Ingenieurkammer Hessen,info@ingkh.de,http://www.ingkh.de/,hessen,,,Kammer,,,,,
,Notarkammer Kassel,notk@notarkammer-kassel.de,http://www.notarkammer-kassel.de/,hessen,,,Kammer,,,,,
,Psychotherapeutenkammer Hessen,post@ptk-hessen.de,www.psychotherapeutenkammer-hessen.de,hessen,,,Kammer,,,,,
,Rechtsanwaltskammer Frankfurt a. M.,info@rechtsanwaltskammer-ffm.de,www.rechtsanwaltskammer-ffm.de,hessen,,,Kammer,,,,,
,Rechtsanwaltskammer Kassel,rak@rechtsanwaltskammer-kassel.de,www.rechtsanwaltskammer-kassel.de,hessen,,,Kammer,,,,,
,Steuerberaterkammer Hessen,geschaeftsstelle@stbk-hessen.de,http://www.stbk-hessen.de,hessen,,,Kammer,,,,,
,Tierärztekammer Hessen,info@ltk-hessen.de,http://www.LTK-Hessen.de,hessen,,,Kammer,,,,,
,Zahnärztekammer Hessen,box@lzkh.de,http://www.lzkh.de/,hessen,,,Kammer,,,,,
HWK Frankfurt/Oder Region Ostbrandenburg,Handwerkskammer Frankfurt/Oder Region Ostbrandenburg,hgf@hwk-ff.de,,hessen,,,Kammer,,,,,
HWK Kassel,Handwerkskammer Kassel,info@hwk-kassel.de,,hessen,,,Kammer,,,,,
HWK Wiesbaden,Handwerkskammer Wiesbaden,harald.brandes@hwk-wiesbaden.de,,hessen,,,Kammer,,,,,
IHK Darmstadt,Industrie- und Handelskammer Darmstadt,hauptgeschaeftsfuehrung@darmstadt.ihk.de,,hessen,,,Kammer,,,,,
IHK Frankfurt/Main,Industrie- und Handelskammer Frankfurt/Main,m.graessle@frankfurt-main.ihk.de,,hessen,,,Kammer,,,,,
IHK Gießen-Friedberg,Industrie- und Handelskammer Gießen-Friedberg,schmitt@giessen-friedberg.ihk.de,,hessen,,,Kammer,,,,,
IHK Hanau,Industrie- und Handelskammer Hanau,a.knips@hanau.ihk.de,,hessen,,,Kammer,,,,,
IHK Kassel,Industrie- und Handelskammer Kassel,rudolff@kassel.ihk.de,,hessen,,,Kammer,,,,,
IHK Mainz/ Rheinhessen,Industrie- und Handelskammer Mainz/ Rheinhessen,stefan.linden@rheinhessen.ihk24.de,,hessen,,,Kammer,,,,,
IHK Wiesbaden,Industrie- und Handelskammer Wiesbaden,g.bonnet@wiesbaden.ihk.de,,hessen,,,Kammer,,,,,
,Apothekerkammer Mecklenburg-Vorpommern,info@akmv.de,http://www.akmv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Architektenkammer Mecklenburg-Vorpommern,info@ak-mv.de,www.architektenkammer-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Ärztekammer Mecklenburg-Vorpommern,info@aek-mv.de,http://www.aek-mv.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Ingenieurkammer Mecklenburg-Vorpommern,info@ingenieurkammer-mv.de,http://www.ingenieurkammer-mv.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,"Lotsenbrüderschaft Wismar, Rostock, Stralsund",info@rostockpilot.de,http://www.wismar-rostock-stralsund-pilots.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Notarkammer Frankfurt a. M.,info@notarkammer-ffm.de,http://www.notarkammer-ffm.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Notarkammer Mecklenburg-Vorpommern,notk-mv@notarnet.de,http://www.notarkammer-mv.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Rechtsanwaltskammer Mecklenburg-Vorpommern,info@rak-mv.de,www.rak-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Steuerberaterkammer Mecklenburg-Vorpommern,mail@stbk-mv.de,http://www.stbk-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Tierärztekammer Mecklenburg-Vorpommern,LTK.MV@t-online.de,http://www.landestieraerztekammer-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Zahnärztekammer Mecklenburg-Vorpommern,sekretariat@zaekmv.de,http://www.zaekmv.de,mecklenburg-vorpommern,,,Kammer,,,,,
HWK Schwerin,Handwerkskammer Schwerin,e.hummelsheim@hwk-schwerin.de,,mecklenburg-vorpommern,,,Kammer,,,,,
IHK Rostock,Industrie- und Handelskammer Rostock,enge@rostock.ihk.de,,mecklenburg-vorpommern,,,Kammer,,,,,
IHK Schwerin,Industrie- und Handelskammer Schwerin,presse@ihkzuschwerin.ihk.de,,mecklenburg-vorpommern,,,Kammer,,,,,
,Rechtsanwaltskammer München,info@rak-muenchen.de,www.rak-muenchen.de,munchen,,,Kammer,,,,,
,Steuerberaterkammer München,info@stbk-muc.de,http://www.stbk-muc.de,munchen,,,Kammer,,,,,
HWK München und Oberbayern,Handwerkskammer München und Oberbayern,lothar.semper@hwk-muenchen.de,,munchen,,,Kammer,,,,,
IHK München,Industrie- und Handelskammer München,ihkmail@muenchen.ihk.de,,munchen,,,Kammer,,,,,
,Apothekerkammer Niedersachsen,info@apothekerkammer-nds.de,http://www.apothekerkammer-niedersachsen.de,niedersachsen,,,Kammer,,,,,
,Architektenkammer Niedersachsen,nfo@aknds.de,www.aknds.de,niedersachsen,,,Kammer,,,,,
,Ingenieurkammer Niedersachsen,kammer@ingenieurkammer.de,http://www.ingenieurkammer.de/cms/index.php,niedersachsen,,,Kammer,,,,,
,Landwirtschaftskammer Niedersachsen,info@lwk-niedersachsen.de,http://www.lwk-niedersachsen.de/,niedersachsen,,,Kammer,,,,,
,Lotsenbrüderschaft Emden,office@emspilots.de,http://www.emspilots.de,niedersachsen,,,Kammer,,,,,
,Lotsenbrüderschaft Nord-Ostsee-Kanal I,office@pilotservices.de,http://www.pilotservices.de/,niedersachsen,,,Kammer,,,,,
,"Lotsenbrüderschaft Nord-Ostsee-Kanal II, Kiel, Lübeck, Flensburg",office@kielpilot.de,http://www.kielpilot.de/,niedersachsen,,,Kammer,,,,,
,Notarkammer Braunschweig,nfo@notarkammer-braunschweig.de,http://www.anwaltsnotarkammern.de/braunschweig-_64.html,niedersachsen,,,Kammer,,,,,
,Notarkammer Celle,kontakt@celle-notarkammer.de,http://www.anwaltsnotarkammern.de/celle-_66.html,niedersachsen,,,Kammer,,,,,
,Notarkammer Hamburg,info@hamburgische-notarkammer.de,http://www.hamburgische-notarkammer.de/,niedersachsen,,,Kammer,,,,,
,Notarkammer Oldenburg,info@notk-oldenburg.de,http://www.notk-oldenburg.de/,niedersachsen,,,Kammer,,,,,
,Psychotherapeutenkammer Niedersachsen,info@pknds.de,www.pk-nds.de,niedersachsen,,,Kammer,,,,,
,Rechtsanwaltskammer Braunschweig,info@rak-braunschweig.de,www.rak-braunschweig.de,niedersachsen,,,Kammer,,,,,
,Steuerberaterkammer Niedersachsen,info@stbk-niedersachsen.de,http://www.stbk-niedersachsen.de,niedersachsen,,,Kammer,,,,,
,Tierärztekammer Niedersachsen,mail@tknds.de,http://www.tknds.de,niedersachsen,,,Kammer,,,,,
,Zahnärztekammer Niedersachsen,info@zkn.de,http://www.zkn.de,niedersachsen,,,Kammer,,,,,
HWK Aurich/Ostfriesland,Handwerkskammer Aurich/Ostfriesland,p.kromminga@hwk-aurich.de,,niedersachsen,,,Kammer,,,,,
HWK Braunschweig-Lüneburg-Stade,Handwerkskammer Braunschweig-Lüneburg-Stade,hoeft@hwk-bls.de,,niedersachsen,,,Kammer,,,,,
HWK Lübeck,Handwerkskammer Lübeck,akatschke@hwk-luebeck.de,,niedersachsen,,,Kammer,,,,,
IHK Braunschweig,Industrie- und Handelskammer Braunschweig,Bernd.Meier@braunschweig.ihk.de,,niedersachsen,,,Kammer,,,,,
IHK Emden,Industrie- und Handelskammer Emden,stefan.claus@emden.ihk.de,,niedersachsen,,,Kammer,,,,,
,Apothekerkammer Nordrhein,info@aknr.de,http://www.aknr.de,nrw,,,Kammer,,,,,
,Apothekerkammer Westfalen-Lippe,info@akwl.de,http://www.akwl.de,nrw,,,Kammer,,,,,
,Architektenkammer Nordrhein-Westfalen,info@aknw.de,http://www.aknw.de,nrw,,,Kammer,,,,,
,Ärztekammer Nordrhein,aerztekammer@aekno.de,http://www.aekno.de/,nrw,,,Kammer,,,,,
,Ärztekammer Westfalen-Lippe,posteingang@aekwl.de,http://www.aekwl.de/,nrw,,,Kammer,,,,,
,Ingenieurkammer Nordrhein-Westfalen,info@ikbaunrw.de,http://www.ikbaunrw.de,nrw,,,Kammer,,,,,
,Landwirtschaftskammer Nordrhein-Westfalen,info@lwk.nrw.de,http://www.landwirtschaftskammer.de/,nrw,,,Kammer,,,,,
,Notarkammer Westfalen,info@westfaelische-notarkammer.de,http://www.westfaelische-notarkammer.de/,nrw,,,Kammer,,,,,
,Psychotherapeutenkammer Nordrhein-Westfalen,info@ptk-nrw.de,www.ptk-nrw.de,nrw,,,Kammer,,,,,
,Rechtsanwaltskammer Düsseldorf,info@rechtsanwaltskammer-duesseldorf.de,www.rechtsanwaltskammer-duesseldorf.de,nrw,,,Kammer,,,,,
,Rechtsanwaltskammer Köln,kontakt@rak-koeln.de,www.rak-koeln.de,nrw,,,Kammer,,,,,
,Steuerberaterkammer Düsseldorf,mail@stbk-duesseldorf.de,http://www.stbk-duesseldorf.de,nrw,,,Kammer,,,,,
,Steuerberaterkammer Köln,mail@stbk-koeln.de,http://www.stbk-koeln.de,nrw,,,Kammer,,,,,
,Steuerberaterkammer Westfalen-Lippe,mail@stbk-westfalen-lippe.de,http://www.stbk-westfalen-lippe.de,nrw,,,Kammer,,,,,
,Tierärztekammer Nordrhein-Westfalen,info@tieraerztekammer-nordrhein.de,http://www.tieraerztekammer-nordrhein.de,nrw,,,Kammer,,,,,
,Zahnärztekammer Nordrhein,info@zaek-nr.de,http://www.zahnaerztekammernordrhein.de/,nrw,,,Kammer,,,,,
,Zahnärztekammer Westfalen-Lippe,ZAEKWL@t-online.de,http://www.zahnaerzte-wl.de/,nrw,,,Kammer,,,,,
HWK Aachen,Handwerkskammer Aachen,info@hwk-aachen.de,,nrw,,,Kammer,,,,,
HWK Arnsberg/Südwestfalen,Handwerkskammer Arnsberg/Südwestfalen,info@hwk-suedwestfalen.de,,nrw,,,Kammer,,,,,
HWK Ostwestfalen-Lippe zu Bielefeld,Handwerkskammer Ostwestfalen-Lippe zu Bielefeld,michael.heesing@handwerk-owl.de,,nrw,,,Kammer,,,,,
HWK Dortmund,Handwerkskammer Dortmund,info@hwk-do.de,,nrw,,,Kammer,,,,,
HWK Düsseldorf,Handwerkskammer Düsseldorf,georg.cramer@hwk-duesseldorf.de,,nrw,,,Kammer,,,,,
HWK Frankfurt a. M.,Handwerkskammer Frankfurt a. M.,hgf@hwk-rhein-main.de,,nrw,,,Kammer,,,,,
HWK Köln,Handwerkskammer Köln,info@hwk-koeln.de,,nrw,,,Kammer,,,,,
HWK Münster,Handwerkskammer Münster,hermann.eiling@hwk-muenster.de,,nrw,,,Kammer,,,,,
IHK Aachen,Industrie- und Handelskammer Aachen,hgf@aachen.ihk.de,,nrw,,,Kammer,,,,,
IHK Bielefeld,Industrie- und Handelskammer Bielefeld,j.behlke@ostwestfalen.ihk.de,,nrw,,,Kammer,,,,,
IHK Bochum,Industrie- und Handelskammer Bochum,burghaus@bochum.ihk.de,,nrw,,,Kammer,,,,,
IHK Bonn,Industrie- und Handelskammer Bonn,hille@bonn.ihk.de,,nrw,,,Kammer,,,,,
IHK Detmold,Industrie- und Handelskammer Detmold,dahmen@detmold.ihk.de,,nrw,,,Kammer,,,,,
IHK Lahn-Dill,Industrie- und Handelskammer Lahn-Dill,tielmann@lahndill.ihk.de,,nrw,,,Kammer,,,,,
IHK Dortmund,Industrie- und Handelskammer Dortmund,r.schulz@dortmund.ihk.de,,nrw,,,Kammer,,,,,
IHK Duisburg,Industrie- und Handelskammer Duisburg,behrens@niederrhein.ihk.de,,nrw,,,Kammer,,,,,
IHK Düsseldorf,Industrie- und Handelskammer Düsseldorf,mahn@duesseldorf.ihk.de,,nrw,,,Kammer,,,,,
IHK Essen,Industrie- und Handelskammer Essen,heike.husung@essen.ihk.de,,nrw,,,Kammer,,,,,
IHK Gera / Ostthüringen,Industrie- und Handelskammer Gera / Ostthüringen,barth@gera.ihk.de,,nrw,,,Kammer,,,,,
IHK Hagen,Industrie- und Handelskammer Hagen,jacobi@hagen.ihk.de,,nrw,,,Kammer,,,,,
IHK Köln,Industrie- und Handelskammer Köln,susanne.hartmann@koeln.ihk.de,,nrw,,,Kammer,,,,,
IHK Krefeld / Mittlerer-Niederrhein,Industrie- und Handelskammer Krefeld / Mittlerer-Niederrhein,porschen@krefeld.ihk.de,,nrw,,,Kammer,,,,,
IHK Limburg-Lahn,Industrie- und Handelskammer Limburg-Lahn,n.oestreicher@limburg.ihk.de,,nrw,,,Kammer,,,,,
IHK Münster / Nord-Westfalen,Industrie- und Handelskammer Münster / Nord-Westfalen,wirtz@ihk-nordwestfalen.de,,nrw,,,Kammer,,,,,
IHK Offenbach/Main,Industrie- und Handelskammer Offenbach/Main,linke@offenbach.ihk.de,,nrw,,,Kammer,,,,,
IHK Oldenburg,Industrie- und Handelskammer Oldenburg,michael.bruns@oldenburg.ihk.de,,nrw,,,Kammer,,,,,
IHK Siegen,Industrie- und Handelskammer Siegen,si@siegen.ihk.de,,nrw,,,Kammer,,,,,
IHK Suhl / Südthüringen,Industrie- und Handelskammer Suhl / Südthüringen,hartwig@suhl.ihk.de,,nrw,,,Kammer,,,,,
,Rechtsanwaltskammer Nürnberg,info@rak-nbg.de,www.rak-nbg.de,nurnberg,,,Kammer,,,,,
,Steuerberaterkammer Nürnberg,info@stbk-nuernberg.de,www.stbk-nuernberg.de,nurnberg,,,Kammer,,,,,
IHK Nürnberg,Industrie- und Handelskammer Nürnberg,kurt.hesse @nuernberg.ihk.de,,nurnberg,,,Kammer,,,,,
"HWK Passau / Niederbayern, Oberpfalz","Handwerkskammer Passau / Niederbayern, Oberpfalz",toni.hinterdobler@hwkno.de,,passau,,,Kammer,,,,,
IHK Passau / Niederbayern,Industrie- und Handelskammer Passau / Niederbayern,keilbart@passau.ihk.de,,passau,,,Kammer,,,,,
IHK Regensburg,Industrie- und Handelskammer Regensburg,goetz@regensburg.ihk.de,,regensburg,,,Kammer,,,,,
,Architektenkammer Rheinland-Pfalz,info@diearchitekten.org,www.diearchitekten.org,rheinland-pfalz,,,Kammer,,,,,
,Ärztekammer Rheinland-Pfalz,kammer@laek-rlp.de,http://www.laek-rlp.de,rheinland-pfalz,,,Kammer,,,,,
,Notarkammer Koblenz,info@notarkammer-koblenz.de,http://www.notarkammer-koblenz.de/,rheinland-pfalz,,,Kammer,,,,,
,Notarkammer Pfalz,notarkammer.pfalz@notarnet.de,http://www.notare.rlp.de/,rheinland-pfalz,,,Kammer,,,,,
,Notarkammer Rheinland,info@rhnotk.de,http://www.rhnotk.de/,rheinland-pfalz,,,Kammer,,,,,
,Psychotherapeutenkammer Rheinland-Pfalz,service@lpk-rlp.de,www.lpk-rlp.de,rheinland-pfalz,,,Kammer,,,,,
,Steuerberaterkammer Rheinland-Pfalz,info@sbk-rlp.de,www.sbk-rlp.de,rheinland-pfalz,,,Kammer,,,,,
,Tierärztekammer Rheinland-Pfalz,ltk.rheinland.pfalz@t-online.de,http://ltk-rlp.de/,rheinland-pfalz,,,Kammer,,,,,
,Zahnärztekammer Rheinland-Pfalz,geschaeftsstelle@lzk.de,http://lzk-rheinland-pfalz.de/,rheinland-pfalz,,,Kammer,,,,,
HWK Koblenz,Handwerkskammer Koblenz,Alexander.Baden@hwk-koblenz.de,,rheinland-pfalz,,,Kammer,,,,,
HWK Kaiserslautern/Pfalz,Handwerkskammer Kaiserslautern/Pfalz,rhellrich@hwk-pfalz.de,,rheinland-pfalz,,,Kammer,,,,,
HWK Mainz,Handwerkskammer Mainz,j.diehl@hwk.de,,rheinland-pfalz,,,Kammer,,,,,
HWK Trier,Handwerkskammer Trier,mbitter@hwk-trier.de,,rheinland-pfalz,,,Kammer,,,,,
IHK Ludwigshafen / Pfalz,Industrie- und Handelskammer Ludwigshafen / Pfalz,sabine.fuchs-hilbrich@pfalz.ihk24.de,,rheinland-pfalz,,,Kammer,,,,,
