id,name,email,contact,address,url,classification,jurisdiction__slug,tags,other_names,website_dump,description,request_note,parent__name
14270,Agentur für Arbeit Bochum,bochum@arbeitsagentur.de,,"Universitätsstr. 66, 44789 Bochum",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14271,Agentur für Arbeit Bonn,bonn@arbeitsagentur.de,,"Villemombler Str. 101, 53123 Bonn",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14272,Agentur für Arbeit Braunschweig – Goslar,braunschweig-goslar@arbeitsagentur.de,,"Cyriaksring 10, 38118 Braunschweig",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
6618,Agentur für Arbeit Bremen-Bremerhaven,bremen-bremerhaven@arbeitsagentur.de,"Tel.: 01801 / 555111 (Arbeitnehmer); 01801 / 664466 (Arbeitgeber)
Fax: (0421) 1782450","Doventorsteinweg 48-52
28195 Bremen",http://www.arbeitsagentur.de/nn_13014/Navigation/Dienststellen/RD-NSB/Bremen-Bremerhaven/Bremen-Bremerhaven-Nav.html,arbeitsagentur,bund,,,,,,Bundesministerium für Arbeit und Soziales
14273,Agentur für Arbeit Brühl,bruehl@arbeitsagentur.de,,"Wilhelm-Kamm-Str. 1, 50321 Brühl",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14274,Agentur für Arbeit Celle,celle@arbeitsagentur.de,,"Georg-Wilhelm-Str. 14, 29223 Celle",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
14275,Agentur für Arbeit Chemnitz,chemnitz@arbeitsagentur.de,,"Heinrich-Lorenz-Str. 20, 09120 Chemnitz",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen,,,,Bundesministerium für Arbeit und Soziales
14276,Agentur für Arbeit Coesfeld,coesfeld@arbeitsagentur.de,,"Holtwicker Str. 1, 48653 Coesfeld",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14277,Agentur für Arbeit Cottbus,cottbus@arbeitsagentur.de,,"Bahnhofstr. 10, 03046 Cottbus",,arbeitsagentur,bund,"""Arbeit und Soziales""",brandenburg,,,,Bundesministerium für Arbeit und Soziales
14278,Agentur für Arbeit Darmstadt,darmstadt@arbeitsagentur.de,,"Groß Gerauer Weg 7, 64295 Darmstadt",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
11078,Agentur für Arbeit Deggendorf,deggendorf@arbeitsagentur.de,Tel:+49 (0)991 3101-0 Fax:+49 (0)991 3101-206,Hindenburgstr. 32 94469 Deggendorf,http://www.arbeitsagentur.de/web/content/81501,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14279,Agentur für Arbeit Dessau – Roßlau – Wittenberg,dessau-rosslau-wittenberg@arbeitsagentur.de,,"Seminarplatz 1, 06846 Dessau-Roßlau",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14280,Agentur für Arbeit Detmold,detmold@arbeitsagentur.de,,"Wittekindstr. 2, 32758 Detmold",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
11079,Agentur für Arbeit Donauwörth,donauwoerth@arbeitsagentur.de,Tel:+49 (0)906 788-0 Fax:+49 (0)906 788-230,Zirgesheimer Str. 9 86609 Donauwörth,http://www.arbeitsagentur.de/web/content/81901,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14281,Agentur für Arbeit Dortmund,dortmund@arbeitsagentur.de,,"Steinstr. 39, 44147 Dortmund",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14282,Agentur für Arbeit Dresden,dresden@arbeitsagentur.de,,"Budapester Str. 30, 01069 Dresden",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen,,,,Bundesministerium für Arbeit und Soziales
14283,Agentur für Arbeit Duisburg,duisburg@arbeitsagentur.de,,"Wintgensstr. 29-33, 47058 Duisburg",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14284,Agentur für Arbeit Düsseldorf,duesseldorf@arbeitsagentur.de,,"Grafenberger Allee 300, 40237 Düsseldorf",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14285,Agentur für Arbeit Eberswalde,eberswalde@arbeitsagentur.de,,"Bergerstr. 30, 16225 Eberswalde",,arbeitsagentur,bund,"""Arbeit und Soziales""",brandenburg,,,,Bundesministerium für Arbeit und Soziales
14286,Agentur für Arbeit Elmshorn,elmshorn@arbeitsagentur.de,,"Bauerweg 23, 25335 Elmshorn",,arbeitsagentur,bund,"""Arbeit und Soziales""",schleswig-holstein,,,,Bundesministerium für Arbeit und Soziales
14287,Agentur für Arbeit Emden – Leer,emden-leer@arbeitsagentur.de,,"Jahnstr. 6, 26789 Leer",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
14288,Agentur für Arbeit Erfurt,erfurt@arbeitsagentur.de,,"Max-Reger-Str. 1, 99096 Erfurt",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14289,Agentur für Arbeit Essen,essen@arbeitsagentur.de,,"Berliner Platz 10, 45127 Essen",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14290,Agentur für Arbeit Flensburg,flensburg@arbeitsagentur.de,,"Waldstr. 2, 24939 Flensburg",,arbeitsagentur,bund,"""Arbeit und Soziales""",schleswig-holstein,,,,Bundesministerium für Arbeit und Soziales
14292,Agentur für Arbeit Frankfurt a. M.,frankfurt-main@arbeitsagentur.de,,"Fischerfeldstr. 10-12 u. 13, 60311 Frankfurt ",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
14291,Agentur für Arbeit Frankfurt (Oder),frankfurt-oder@arbeitsagentur.de,,"Heinrich-von-Stephan-Straße 2, 15236 Frankfurt (Oder)",,arbeitsagentur,bund,"""Arbeit und Soziales""",brandenburg,,,,Bundesministerium für Arbeit und Soziales
14293,Agentur für Arbeit Freiberg,freiberg@arbeitsagentur.de,,"Annaberger Str. 22 A, 09599 Freiberg",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen,,,,Bundesministerium für Arbeit und Soziales
14294,Agentur für Arbeit Freiburg,freiburg@arbeitsagentur.de,,"Lehener Straße. 77, 79106 Freiburg",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
14295,Agentur für Arbeit Freising,freising@arbeitsagentur.de,,"Parkstr. 11, 85356 Freising",,arbeitsagentur,bund,"""Arbeit und Soziales""",bayern,,,,Bundesministerium für Arbeit und Soziales
11080,Agentur für Arbeit Fürth,fuerth@arbeitsagentur.de,Tel:+49 (0)911 9705-0 Fax:+49 (0)911 9705-299,Stresemannplatz 5 90763 Fürth,http://www.arbeitsagentur.de/web/content/72901,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14296,Agentur für Arbeit Gelsenkirchen,gelsenkirchen@arbeitsagentur.de,,"Vattmannstr. 12, 45879 Gelsenkirchen",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14297,Agentur für Arbeit Gießen,giessen@arbeitsagentur.de,,"Nordanlage 60, 35390 Gießen",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
14298,Agentur für Arbeit Göppingen,goeppingen@arbeitsagentur.de,,"Mörikestr. 15, 73033 Göppingen",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
14299,Agentur für Arbeit Gotha,gotha@arbeitsagentur.de,,"Schöne Aussicht 5 Haus C, 99867 Gotha",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14300,Agentur für Arbeit Göttingen,goettingen@arbeitsagentur.de,,"Bahnhofsallee 5, 37081 Göttingen",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
14301,Agentur für Arbeit Greifswald,greifswald@arbeitsagentur.de,,"Am Gorzberg Haus 7, 17489 Greifswald",,arbeitsagentur,bund,"""Arbeit und Soziales""",mecklenburg-vorpommern,,,,Bundesministerium für Arbeit und Soziales
14302,Agentur für Arbeit Hagen,hagen@arbeitsagentur.de,,"Körnerstr. 98-100, 58095 Hagen",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14303,Agentur für Arbeit Halberstadt,halberstadt@arbeitsagentur.de,,"Schwanebecker Str. 14, 38820 Halberstadt",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14304,Agentur für Arbeit Halle,halle@arbeitsagentur.de,,"Schopenhauerstr. 2, 06114 Halle",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
13631,Agentur für Arbeit Hamburg,hamburg@arbeitsagentur.de,"Tel: 0800 4 5555 00 (Arbeitnehmer)
Tel: 0800 4 5555 20 (Arbeitgeber)","Kurt-Schumacher-Allee 16
20097 Hamburg
",https://www.arbeitsagentur.de/web/content/DE/dienststellen/rdn/hamburg/Agentur/index.htm,arbeitsagentur,bund,,,,,,Bundesministerium für Arbeit und Soziales
14305,Agentur für Arbeit Hameln,hameln@arbeitsagentur.de,,"Süntelstr. 6, 31785 Hameln",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
14306,Agentur für Arbeit Hamm,hamm@arbeitsagentur.de,,"Bismarckstr. 2, 59065 Hamm",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14307,Agentur für Arbeit Hanau,hanau@arbeitsagentur.de,,"Am Hauptbahnhof 1, 63450 Hanau",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
14308,Agentur für Arbeit Hannover,hannover@arbeitsagentur.de,,"Brühlstr. 4, 30169 Hannover",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
14309,Agentur für Arbeit Heide,heide@arbeitsagentur.de,,"Rungholtstr. 1, 25746 Heide",,arbeitsagentur,bund,"""Arbeit und Soziales""",schleswig-holstein,,,,Bundesministerium für Arbeit und Soziales
14310,Agentur für Arbeit Heidelberg,heidelberg@arbeitsagentur.de,,"Kaiserstr. 69-71, 69115 Heidelberg",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
14311,Agentur für Arbeit Heilbronn,heilbronn@arbeitsagentur.de,,"Rosenbergstr. 50, 74074 Heilbronn",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
14312,Agentur für Arbeit Helmstedt,helmstedt@arbeitsagentur.de,,"Magdeburger Tor 18, 38350 Helmstedt",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
14313,Agentur für Arbeit Herford,herford@arbeitsagentur.de,,"Hansastr. 33, 32049 Herford",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
5769,Agentur für Arbeit Heusweiler,heusweiler@arbeitsagentur.de,"Tel.: 01801/555111 (Arbeitnehmer)
01801/664466 (Arbeitgeber)
Festnetzpreis 3,9 ct/min;
Mobilfunkpreis höchsten 42 ct/min
Fax: 06806/917150","Hafenstraße 18
66111 Saarbrücken",http://www.arbeitsagentur.de/nn_16384/Partner/RD-RPS/Saarbruecken/55505-Geschaeftsstelle-Heusweiler.html,arbeitsagentur,bund,,,,,,Bundesministerium für Arbeit und Soziales
14314,Agentur für Arbeit Hildesheim,hildesheim@arbeitsagentur.de,,"Am Marienfriedhof 3, 31134 Hildesheim",,arbeitsagentur,bund,"""Arbeit und Soziales""",niedersachsen,,,,Bundesministerium für Arbeit und Soziales
11081,"Agentur für Arbeit Hof, Geschäftsstelle Münchberg",muenchberg@arbeitsagentur.de,Tel:+49 (0)1801 555111 Fax: Amtsgasse 4 95213 Münchberg,Amtsgasse 4 95213 Münchberg,http://arbeitsagentur.de,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
5770,Agentur für Arbeit Homburg,homburg@arbeitsagentur.de,"Tel.: 01801/555111 (Arbeitnehmer)
01801/664466 (Arbeitgeber)
Festnetzpreis 3,9 ct/min;
Mobilfunkpreis höchsten 42 ct/min
Fax: 06841/690911","Ringstraße 1
66538 Neunkirchen",http://www.arbeitsagentur.de/nn_16056/Partner/RD-RPS/Neunkirchen/53905-Geschaeftsstelle-Homburg.html,arbeitsagentur,bund,,,,,,Bundesministerium für Arbeit und Soziales
11082,Agentur für Arbeit Ingolstadt,ingolstadt@arbeitsagentur.de,Tel:+49 (0)841 9338-0 Fax:+49 (0)841 9338-999,Heydeckplatz 1 85049 Ingolstadt,http://www.arbeitsagentur.de/web/content/82701,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14315,Agentur für Arbeit Iserlohn,iserlohn@arbeitsagentur.de,,"Friedrichstr. 59-61, 58636 Iserlohn",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14316,Agentur für Arbeit Jena,jena@arbeitsagentur.de,,"Stadtrodaer Str. 1, 07747 Jena",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14317,Agentur für Arbeit Kaiserslautern – Pirmasens,kaiserslautern-pirmasens@arbeitsagentur.de,,"Augustastr. 6, 67655 Kaiserslautern",,arbeitsagentur,bund,"""Arbeit und Soziales""",rheinland-pfalz,,,,Bundesministerium für Arbeit und Soziales
4360,Agentur für Arbeit Karlsruhe-Rastatt,karlsruhe-rastatt@arbeitsagentur.de,,"Brauerstraße 10
76135 Karlsruhe",http://www.arbeitsagentur.de/nn_1644/Navigation/Dienststellen/RD-BW/Karlsruhe-Rastatt/Agentur/Agentur-Nav.html,Obere Bundesbehörde,bund,"""Arbeit und Soziales""",,,,Bundesagentur für Arbeit - Regionaldirektion Baden-Württemberg,Bundesministerium für Arbeit und Soziales
14318,Agentur für Arbeit Kassel,kassel@arbeitsagentur.de,,"Grüner Weg 46, 34117 Kassel",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
11083,Agentur für Arbeit Kempten-Memmingen,kempten-memmingen@arbeitsagentur.de,Tel:+49 (0)831 2056-0 Fax:+49 (0)831 2056-356,Rottachstraße 26 87439 Kempten (Allgäu),http://www.arbeitsagentur.de/web/content/83101,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14319,Agentur für Arbeit Kiel,kiel@arbeitsagentur.de,,"Adolf-Westphal-Str. 2, 24143 Kiel",,arbeitsagentur,bund,"""Arbeit und Soziales""",schleswig-holstein,,,,Bundesministerium für Arbeit und Soziales
14320,Agentur für Arbeit Koblenz – Mayen,koblenz-mayen@arbeitsagentur.de,,"Rudolf-Virchow-Str. 5, 56073 Koblenz",,arbeitsagentur,bund,"""Arbeit und Soziales""",rheinland-pfalz,,,,Bundesministerium für Arbeit und Soziales
14321,Agentur für Arbeit Köln,koeln@arbeitsagentur.de,,"Luxemburger Str. 121, 50939 Köln",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14322,Agentur für Arbeit Konstanz – Ravensburg,konstanz-ravensburg@arbeitsagentur.de,,"Stromeyersdorfstr. 1, 78467 Konstanz",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
14323,Agentur für Arbeit Korbach,korbach@arbeitsagentur.de,,"Louis-Peter-Str. 49-51, 34497 Korbach",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
14324,Agentur für Arbeit Krefeld,krefeld@arbeitsagentur.de,,"Philadelphiastr. 2, 47799 Krefeld",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
