id,name,email,contact,address,url,classification,jurisdiction__slug,tags,website_dump,other_names,parent__name,description,request_note
252,Bundesagentur für Arbeit - Regionaldirektion Bayern,Bayern@arbeitsagentur.de,"Regensburger Straße 100
90478 Nürnberg, Freistaat Bayern
Deutschland
Postanschrift:
90328 Nürnberg
Telefon: 
+49 911 179-0
Fax: 
+49 911 179-4202
Bayern@arbeitsagentur.de","Hauptadresse
Regensburger Straße 100
90478 Nürnberg, Freistaat Bayern
Deutschland
Postanschrift:
90328 Nürnberg
Telefon: 
+49 911 179-0
Fax: 
+49 911 179-4202
Bayern@arbeitsagentur.de",http://www.arbeitsagentur.de,Obere Bundesbehörde,bund,"""Arbeit und Soziales""",,"Bundesagentur für Arbeit, Regionaldirektion Bayern, BA, Arbeitsvermittlung, Arbeitsagentur, Arbeitslosengeld, Jobvermittlung",Bundesministerium für Arbeit und Soziales,,Bundesministerium für Arbeit und Soziales
11077,Agentur für Arbeit Bayreuth-Hof,bayreuth-hof@arbeitsagentur.de,Tel:+49 (0)9281 785-0 Fax:+49 (0)9281 785-380,Äußere Bayreuther Str. 2 95032 Hof,http://www.arbeitsagentur.de/web/content/72301,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
253,Bundesagentur für Arbeit - Regionaldirektion Berlin Brandenburg,Berlin-Brandenburg@arbeitsagentur.de,"Friedrichstraße  34
10969 Berlin, Berlin
Deutschland
Postanschrift:
10958 Berlin
Telefon: 
+49 30 55555
Fax: 
+49 30 555599-4999
Berlin-Brandenburg@arbeitsagentur.de","Hauptadresse
Friedrichstraße  34
10969 Berlin, Berlin
Deutschland
Postanschrift:
10958 Berlin
Telefon: 
+49 30 55555
Fax: 
+49 30 555599-4999
Berlin-Brandenburg@arbeitsagentur.de",http://www.arbeitsagentur.de,Obere Bundesbehörde,bund,"""Arbeit und Soziales""",,"Bundesagentur für Arbeit, Regionaldirektion Berlin Brandenburg, BA, Arbeitsvermittlung, Arbeitsagentur, Arbeitslosengeld, Jobvermittlung",Bundesministerium für Arbeit und Soziales,,Bundesministerium für Arbeit und Soziales
,Jobcenter Landkreis Biberach,bildung-teilhabe@biberach.de,,"Rollinstr. 9, 88400 Biberach",,jobcenter,baden-wurttemberg,"""Arbeit und Soziales""",Ravensburg,baden-wuerttemberg,Bundesministerium für Arbeit und Soziales,,
,Kommunales Jobcenter Hochtaunus,bis@hochtaunuskreis.de,"Telefon: (0 61 72) 9 99 - 0
Telefax: (0 61 72) 9 99 - 98 00","Ludwig-Erhard-Anlage 1-5
61352 Bad Homburg v. d. Höhe",,jobcenter,hessen,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
5768,Agentur für Arbeit Blieskastel,blieskastel@arbeitsagentur.de,"Tel.: 01801/555111 (Arbeitnehmer)
01801/664466 (Arbeitgeber)
Festnetzpreis 3,9 ct/min;
Mobilfunkpreis höchsten 42 ct/min
Fax: 06842/922950","Hafenstraße 18
66111 Saarbrücken",http://www.arbeitsagentur.de/nn_16384/Partner/RD-RPS/Saarbruecken/55503-Geschaeftsstelle-Blieskastel.html,arbeitsagentur,bund,,,,Bundesministerium für Arbeit und Soziales,,
6618,Agentur für Arbeit Bremen-Bremerhaven,bremen-bremerhaven@arbeitsagentur.de,"Tel.: 01801 / 555111 (Arbeitnehmer); 01801 / 664466 (Arbeitgeber)
Fax: (0421) 1782450","Doventorsteinweg 48-52
28195 Bremen",http://www.arbeitsagentur.de/nn_13014/Navigation/Dienststellen/RD-NSB/Bremen-Bremerhaven/Bremen-Bremerhaven-Nav.html,arbeitsagentur,bund,,,,Bundesministerium für Arbeit und Soziales,,
307,Centrum für internationale Migration und Entwicklung,cim@gtz.de,"Mendelssohnstraße 75 - 77
60325 Frankfurt am Main, Hessen
Deutschland
Telefon: 
+49 69 719121-0
Fax: 
+49 69 719121-19
cim@gtz.de","Hauptadresse
Mendelssohnstraße 75 - 77
60325 Frankfurt am Main, Hessen
Deutschland
Telefon: 
+49 69 719121-0
Fax: 
+49 69 719121-19
cim@gtz.de",http://www.cimonline.de,Andere,bund,Entwicklung,,"Centrum für internationale Migration und Entwicklung, CIM, Auslandsvermittlung",Bundesministerium für Arbeit und Soziales,,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
11078,Agentur für Arbeit Deggendorf,deggendorf@arbeitsagentur.de,Tel:+49 (0)991 3101-0 Fax:+49 (0)991 3101-206,Hindenburgstr. 32 94469 Deggendorf,http://www.arbeitsagentur.de/web/content/81501,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
11079,Agentur für Arbeit Donauwörth,donauwoerth@arbeitsagentur.de,Tel:+49 (0)906 788-0 Fax:+49 (0)906 788-230,Zirgesheimer Str. 9 86609 Donauwörth,http://www.arbeitsagentur.de/web/content/81901,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Landratsamt Waldshut - Amt für berufliche Eingliederungen - Jobcenter Waldshut-Tiengen ,eingliederung@landkreis-waldshut.de,,"Waldtorstr. 14, 79761 Waldshut-Tiengen",,jobcenter,baden-wurttemberg,"""Arbeit und Soziales""",Lörrach,baden-wuerttemberg,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Baden-Württemberg-Ost,Familienkasse-Baden-Wuerttemberg-Ost@arbeitsagentur.de,,"Familienkasse Baden-Württemberg-Ost
70146 Stuttgart",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Baden-Württemberg-West,Familienkasse-Baden-Wuerttemberg-West@arbeitsagentur.de,,"Familienkasse Baden-Württemberg-West
76088 Karlsruhe",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Bayern Nord,Familienkasse-Bayern-Nord@arbeitsagentur.de,,"Familienkasse Bayern Nord
90316 Nürnberg",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Berlin-Brandenburg,Familienkasse-Berlin-Brandenburg@arbeitsagentur.de,,"Familienkasse Berlin-Brandenburg
14465 Potsdam",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Niedersachsen-Bremen,Familienkasse-Niedersachsen-Bremen@arbeitsagentur.de,,"Familienkasse Niedersachsen-Bremen
30131 Hannover",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Nord,Familienkasse-Nord@arbeitsagentur.de,,"Familienkasse Nord
20069 Hamburg",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Nordrhein-Westfalen Nord,Familienkasse-Nordrhein-Westfalen-Nord@arbeitsagentur.de,,"Familienkasse Nordrhein-Westfalen Nord
44785 Bochum",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Nordrhein-Westfalen Ost,Familienkasse-Nordrhein-Westfalen-Ost@arbeitsagentur.de,,"Familienkasse Nordrhein-Westfalen Ost
44117 Dortmund",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Nordrhein-Westfalen West,Familienkasse-Nordrhein-Westfalen-West@arbeitsagentur.de,,"Familienkasse Nordrhein-Westfalen West
50574 Köln",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Rheinland-Pfalz-Saarland,Familienkasse-Rheinland-Pfalz-Saarland@arbeitsagentur.de,,"Familienkasse-Rheinland-Pfalz-Saarland
55149 Mainz",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Sachsen,Familienkasse-Sachsen@arbeitsagentur.de,,"Familienkasse Sachsen
09092 Chemnitz",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Familienkasse Sachsen-Anhalt-Thüringen,Familienkasse-Sachsen-Anhalt-Thueringen@arbeitsagentur.de,,"Familienkasse Sachsen-Anhalt-Thüringen
06073 Halle",,familienkasse,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
11080,Agentur für Arbeit Fürth,fuerth@arbeitsagentur.de,Tel:+49 (0)911 9705-0 Fax:+49 (0)911 9705-299,Stresemannplatz 5 90763 Fürth,http://www.arbeitsagentur.de/web/content/72901,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Kommunales Jobcenter Kreis Groß-Gerau,gross-gerau@jc-gg.de,,"Wilhelm-Seipp-Str. 4, 64521 Groß-Gerau",,jobcenter,hessen,"""Arbeit und Soziales""",Darmstadt,hessen,Bundesministerium für Arbeit und Soziales,,
13631,Agentur für Arbeit Hamburg,hamburg@arbeitsagentur.de,"Tel: 0800 4 5555 00 (Arbeitnehmer)
Tel: 0800 4 5555 20 (Arbeitgeber)","Kurt-Schumacher-Allee 16
20097 Hamburg
",https://www.arbeitsagentur.de/web/content/DE/dienststellen/rdn/hamburg/Agentur/index.htm,arbeitsagentur,bund,,,,Bundesministerium für Arbeit und Soziales,,
,Hanse Jobcenter Rostock ,Hanse-Jobcenter-Rostock@jobcenter-ge.de,,"Friedrich-Engels-Platz 6-8, 18055 Rostock",,jobcenter,bund,"""Arbeit und Soziales""",Rostock,Mecklenburg-Vorpommern/Schleswig-Holstein,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Neue Wege Kreis Bergstraße,heppenheim@neue-wege.org,,"Walther- Rathenau- Str. 1, 64646 Heppenheim",,jobcenter,hessen,"""Arbeit und Soziales""",Darmstadt,hessen,Bundesministerium für Arbeit und Soziales,,
254,Bundesagentur für Arbeit - Regionaldirektion Hessen,Hessen@arbeitsagentur.de,"Saonestraße 2 - 4
60528 Frankfurt am Main, Hessen 
Deutschland
Postanschrift:
Postfach 71 06 61, 60496 Frankfurt
Telefon: 
+49 69 6670-0
Fax: 
+49 69 6670-459
Hessen@arbeitsagentur.de","Hauptadresse
Saonestraße 2 - 4
60528 Frankfurt am Main, Hessen 
Deutschland
Postanschrift:
Postfach 71 06 61, 60496 Frankfurt
Telefon: 
+49 69 6670-0
Fax: 
+49 69 6670-459
Hessen@arbeitsagentur.de",http://www.arbeitsagentur.de/,Obere Bundesbehörde,bund,"""Arbeit und Soziales""",,"Bundesagentur für Arbeit, Regionaldirektion Hessen, BA, Arbeitsvermittlung, Arbeitsagentur, Arbeitslosengeld, Jobvermittlung",Bundesministerium für Arbeit und Soziales,,
5769,Agentur für Arbeit Heusweiler,heusweiler@arbeitsagentur.de,"Tel.: 01801/555111 (Arbeitnehmer)
01801/664466 (Arbeitgeber)
Festnetzpreis 3,9 ct/min;
Mobilfunkpreis höchsten 42 ct/min
Fax: 06806/917150","Hafenstraße 18
66111 Saarbrücken",http://www.arbeitsagentur.de/nn_16384/Partner/RD-RPS/Saarbruecken/55505-Geschaeftsstelle-Heusweiler.html,arbeitsagentur,bund,,,,Bundesministerium für Arbeit und Soziales,,
4305,Jobcenter Kreis Höxter ,Hoexter@jobcenter-ge.de,"Tel.: 05271 / 6995-0
Fax. 05271 / 6995-299","Stummrigestr. 56, 37671 Höxter",http://www.jobcenter-kreis-hoexter.de,jobcenter,bund,"""Arbeit und Soziales""",Paderborn,nrw,Bundesministerium für Arbeit und Soziales,,
5770,Agentur für Arbeit Homburg,homburg@arbeitsagentur.de,"Tel.: 01801/555111 (Arbeitnehmer)
01801/664466 (Arbeitgeber)
Festnetzpreis 3,9 ct/min;
Mobilfunkpreis höchsten 42 ct/min
Fax: 06841/690911","Ringstraße 1
66538 Neunkirchen",http://www.arbeitsagentur.de/nn_16056/Partner/RD-RPS/Neunkirchen/53905-Geschaeftsstelle-Homburg.html,arbeitsagentur,bund,,,,Bundesministerium für Arbeit und Soziales,,
4288,Integrationscenter für Arbeit Gelsenkirchen - das Jobcenter,IAG-Jobcenter-Gelsenkirchen@jobcenter-ge.de,"Tel.: 0209 / 164800
Fax. 0209 / 164810","Vattmannstr. 12, 45879 Gelsenkirchen",http://www.iag-gelsenkirchen.de/,jobcenter,bund,"""Arbeit und Soziales""",Gelsenkirchen,nrw,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Ostprignitz-Ruppin,info.jobcenter@opr.de,,"Rheinsberger Str. 18, 16909 Wittstock",,jobcenter,brandenburg,"""Arbeit und Soziales""",Neuruppin,brandenburg,Bundesministerium für Arbeit und Soziales,,
336,Deutsche Energie-Agentur GmbH,info@dena.de,"Chausseestraße 128 a
10115 Berlin, Berlin
Deutschland
Telefon: 
+49 30 726165-600
Fax: 
+49 30 726165-699
info@dena.de","Hauptadresse
Chausseestraße 128 a
10115 Berlin, Berlin
Deutschland
Telefon: 
+49 30 726165-600
Fax: 
+49 30 726165-699
info@dena.de",http://www.dena.de,Andere,bund,Wirtschaft,,"Deutsche Energie-Agentur GmbH, dena, Energie, Energieeffizienz, Erneuerbare Energien",Bundesministerium für Arbeit und Soziales,,
7688,Hochschule der Bundesagentur für Arbeit,info@hdba.de,"Telefon: +49 (0)621/4209-0

Telefax: +49 (0)621/4209-215","Seckenheimer Landstr. 16

D - 68163 Mannheim

",http://www.hdba.de/,Hochschule,bund,,,,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Heidekreis,info@heidekreis.de,Telefon: 05162 970-0,"Vogteistraße 19
29683 Bad Fallingbostel",,jobcenter,niedersachsen,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
7437,Jobcenter Burgenlandkreis,info@jc-blk.de,"Telefon: 03441 2290-499, Fax: 03441 2290-401","Friedensstraße 80 , 06712 Zeitz",,Jobcenter,sachsen-anhalt,"""Arbeit und Soziales""","""Arbeit und Soziales""",,Bundesministerium für Arbeit und Soziales,,
7434,Jobcenter Altmarkkreis Salzwedel,info@jobcenter-altmarkkreis.de,Telefon: 03909 4816-0,"Straße der Jugend 6 , 38486 Klötze",,Jobcenter,sachsen-anhalt,"""Arbeit und Soziales""","""Arbeit und Soziales""",,Bundesministerium für Arbeit und Soziales,,
4279,Jobcenter Arbeitplus Bielefeld,info@jobcenter-arbeitplus-bielefeld.de,"Tel.: 0521.92399-0
Fax: 0521.92399-120","Willy-Brandt-Platz 2
33602 Bielefeld",http://www.arbeitplus-bi.de/,Jobcenter,bund,"""Arbeit und Soziales""","""Arbeit und Soziales""",nrw,Bundesministerium für Arbeit und Soziales,,
4323,Jobcenter Ennepe-Ruhr-Kreis,info@jobcenter-en.de,"Tel: 02336 / 4448-101
Fax: 02336 / 4448-150","Nordstr. 21, 58332 Schwelm",http://www.jobcenter-en.de/,jobcenter,nrw,"""Arbeit und Soziales""",Hagen,nrw,Bundesministerium für Arbeit und Soziales,,
4289,Jobcenter Lippe ,info@jobcenter-lippe.de,"Tel.: 05231 / 4599-0
Fax. 05231 / 4599-271","Wittekindstr. 2, 32758 Detmold",,jobcenter,nrw,"""Arbeit und Soziales""",Detmold,nrw,Bundesministerium für Arbeit und Soziales,,
,Kommunales Center für Arbeit - Jobcenter und Soziales Hanau,info@kca-mkk.de,,"Gutenbergstr. 2
63571 Gelnhausen",,jobcenter,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Kommunales Center für Arbeit - Jobcenter und Soziales Main-Kinzig-Kreis,info@kca-mkk.de,"Telefon: +49 (6051) 9741 41001
Telefax: +49 (6051) 9741 41020","Gutenbergstraße 2
63571 Gelnhausen",,jobcenter,hessen,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
7435,Jobcenter Anhalt-Bitterfeld,info@komba-abi.de,Telefon: 03493 5168-101,"Markt 28 , 39261 Zerbst/Anhalt , (Bemerkung: Nebenstelle)",http://www.komba-abi.de,Jobcenter,sachsen-anhalt,"""Arbeit und Soziales""","""Arbeit und Soziales""",,Bundesministerium für Arbeit und Soziales,,
4311,Jobcenter Landkreis Kleve,info@kreis-kleve.de,"Tel: 02821 / 85-0
Fax: 02821/ 85-500","Nassauer Allee 15-23, 47533 Kleve",http://www.kreis-kleve.de/jobcenter,jobcenter,nrw,"""Arbeit und Soziales""",Wesel,nrw,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Göttingen,info@landkreisgoettingen.de,,"Reinhäuser Landstr. 4, 37083 Göttingen",,jobcenter,niedersachsen,"""Arbeit und Soziales""",Göttingen,Niedersachsen,Bundesministerium für Arbeit und Soziales,,
11968,Jobcenter Günzburg,info@landkreis-guenzburg.de,Tel:+49 (0)8221 95-500 Fax:+49 (0)8221 95-501,"An der Kapuzinermauer 1, 89312 Günzburg",http://www.familie.landkreis-guenzburg.de/leistungen/leistungen-des-jobcenters.html,jobcenter,bayern,"""Arbeit und Soziales""",Memmingen,bayern,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Tuttlingen,info@landkreis-tuttlingen.de,,"Bahnhofstr. 100, 78532 Tuttlingen",,jobcenter,baden-wurttemberg,"""Arbeit und Soziales""",Rottweil,baden-wuerttemberg,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Nordfriesland,info@nordfriesland.de,,"Marktstr. 6, 25813 Husum",,jobcenter,schleswig-holstein,"""Arbeit und Soziales""",Flensburg,Mecklenburg-Vorpommern/Schleswig-Holstein,Bundesministerium für Arbeit und Soziales,,
,Kommunales Jobcenter Odenwaldkreis,info@odenwaldkreis.de,,"Michelstädter Str. 12, 64711 Erbach",,jobcenter,hessen,"""Arbeit und Soziales""",Darmstadt,hessen,Bundesministerium für Arbeit und Soziales,,
,ProArbeit Landkreis Osterholz,info@proarbeit-ohz.de,,"Bahnhofstr. 36
27711 Osterholz-Scharmbeck",,jobcenter,niedersachsen,"""Arbeit und Soziales""",Bremen,Bremen,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Grafschaft Bentheim,info-jobcenter@grafschaft.de,,"Bentheimer Str. 118, 48522 Nordhorn",,jobcenter,niedersachsen,"""Arbeit und Soziales""",Nordhorn,Niedersachsen,Bundesministerium für Arbeit und Soziales,,
,Kreisagentur für Beschäftigung Darmstadt-Dieburg,info-kfb@ladadi.de,,"Jägertorstraße 207 Trakt 7, 64289 Darmstadt",,jobcenter,hessen,"""Arbeit und Soziales""",Darmstadt,hessen,Bundesministerium für Arbeit und Soziales,,
11954,Landratsamt Miesbach/Amt für Arbeit und Soziales,infosozial@lra-mb.bayern.de,Tel:+49 (0)8025 704-0 Fax:+49 (0)8025 704-289,"Rosenheimer Str. 3 Haus 1, 83714 Miesbach",http://www.landkreis-miesbach.de/index.phtml?mNavID=1871.94&amp;sNavID=1871.94&amp;La=1,jobcenter,bayern,"""Arbeit und Soziales""",Rosenheim,bayern,Bundesministerium für Arbeit und Soziales,,
11082,Agentur für Arbeit Ingolstadt,ingolstadt@arbeitsagentur.de,Tel:+49 (0)841 9338-0 Fax:+49 (0)841 9338-999,Heydeckplatz 1 85049 Ingolstadt,http://www.arbeitsagentur.de/web/content/82701,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
7439,Jobcenter Salzlandkreis,jc@jc.kreis-slk.de,Telefon: 03471 684-0,"Mozartsraße 1 , 06406 Bernburg (Saale)",http://www.jc.salzlandkreis.de,Jobcenter,sachsen-anhalt,"""Arbeit und Soziales""","""Arbeit und Soziales""",,Bundesministerium für Arbeit und Soziales,,
11948,Jobcenter Berchtesgadener Land ,JC-Berchtesgadener-Land@jobcenter-ge.de,Tel:+49 (0)8651 7637-0 Fax:+49 (0)8651 7637-200,"Bahnhofstr. 22, 83435 Bad Reichenhall",http://www.arbeitsagentur.de/85902,jobcenter,bund,"""Arbeit und Soziales""",Traunstein,bayern,Bundesministerium für Arbeit und Soziales,,
4300,Jobcenter Gütersloh,jc-gt@gt-net.de,"Tel: 05241 / 85 4300
Fax: 05241 / 85 4351","Friedrich-Ebert-Str. 31, 33330 Gütersloh",,jobcenter,nrw,"""Arbeit und Soziales""",Bielefeld,nrw,Bundesministerium für Arbeit und Soziales,,
8847,Jobcenter Landkreis Karlsruhe,jc-landkreis-ka@jobcenter-ge.de,"Telefon: 0721 823-3162, Fax: 0721 823-2036",Brauerstraße 1076135 Karlsruhe,http://www.arbeitsagentur.de/web/content/DE/dienststellen/rdbw/karlsruherastatt/Agentur/Ueberuns/Detail/index.htm?dfContentId=L6019022DSTBAI486740,Jobcenter,bund,"""Arbeit und Soziales""","""Arbeit und Soziales""",,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Rottweil,JC-LK-RW@jobcenter-ge.de,,"Steig 27, 78628 Rottweil",,jobcenter,bund,"""Arbeit und Soziales""",Rottweil,baden-wuerttemberg,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Ludwigslust- Parchim  ,JC-Ludwigslust-Parchim@jobcenter-ge.de,,"Scharnhorststr. 1, 19370 Parchim",,jobcenter,bund,"""Arbeit und Soziales""",Schwerin,Mecklenburg-Vorpommern/Schleswig-Holstein,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Mayen-Koblenz,JC-Mayen@kvmyk.de,,"Marktplatz 24, 56727 Mayen",,jobcenter,rheinland-pfalz,"""Arbeit und Soziales""",Mayen,rheinland-pfalz,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Nordwestmecklenburg ,JC-Nordwestmecklenburg@jobcenter-ge.de,,"Mühlenstr.32, 23966 Wismar",,jobcenter,bund,"""Arbeit und Soziales""",Schwerin,Mecklenburg-Vorpommern/Schleswig-Holstein,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Rhein-Neckar-Kreis ,JC-RNK@jobcenter-ge.de,,"Czerny - Ring 22 / 11, 69115 Heidelberg",,jobcenter,bund,"""Arbeit und Soziales""",Heidelberg,baden-wuerttemberg,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Hansestadt Greifswald,JC-VG-Nord@jobcenter-ge.de,,"Am Gorzberg 1, Haus 7, 17489 Hansestadt Greifswald",,jobcenter,bund,"""Arbeit und Soziales""",Stralsund,Mecklenburg-Vorpommern/Schleswig-Holstein,Bundesministerium für Arbeit und Soziales,,
,"Jobcenter Uecker-Randow, Vorpommern - Greifswald Süd",JC-VG-Sued@jobcenter-ge.de,,"Markstr. 58-62, 17309 Pasewalk",,jobcenter,bund,"""Arbeit und Soziales""",Neubrandenburg,Mecklenburg-Vorpommern/Schleswig-Holstein,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Waldeck-Frankenberg ,JC-Waldeck-Frankenberg@jobcenter-ge.de,,"Louis-Peter-Str.   49-51, 34497 Korbach",,jobcenter,bund,"""Arbeit und Soziales""",Korbach,hessen,Bundesministerium für Arbeit und Soziales,,
12026,Jobcenter Weißenburg-Gunzenhausen,JC-Weissenburg-Gunzenhausen@jobcenter-ge.de,Tel:+49 (0)9141 871-327 Fax:+49 (0)9141 871-660,"Schwärzgasse 1, 91781 Weißenburg",http://www.arbeitsagentur.de/71108,jobcenter,bund,"""Arbeit und Soziales""",Weißenburg,bayern,Bundesministerium für Arbeit und Soziales,,
