other_names,name,email,url,jurisdiction__slug,address,contact,classification,tags,request_note,website_dump,description,parent__name
,Bundesrechtsanwaltskammer,zentrale@brak.de,http://www.brak.de,bund,,,Kammer,,,,,
,Bundessteuerberaterkammer,zentrale@bstbk.de,http://www.bstbk.de,bund,,,Kammer,,,,,
,Hafenlotsenbrüderschaft Hamburg,postmaster@hamburg-pilot.de,http://www.hamburg-pilot.de/,hamburg,,,Kammer,,,,,
,Hafenlotsengesellschaft Bremerhaven,hafenlotsen@bremerhavenpilot.de,http://www.bremerhavenpilot.de/,bremen,,,Kammer,,,,,
,Ingenieurkammer Bayern,info@bayika.de,http://www.bayika.de/,bayern,,,Kammer,,,,,
,Ingenieurkammer Berlin,info@baukammerberlin.de,http://www.baukammerberlin.de/,berlin,,,Kammer,,,,,
,Ingenieurkammer Brandenburg,info@bbik.de,http://www.bbik.de/,brandenburg,,,Kammer,,,,,
,Ingenieurkammer Bremen,info@ingenieurkammer-bremen.de,http://www.ingenieurkammer-bremen.de/,bremen,,,Kammer,,,,,
,Ingenieurkammer Hamburg,kontakt@hikb.de,http://www.hikb.de/,hamburg,,,Kammer,,,,,
,Ingenieurkammer Hessen,info@ingkh.de,http://www.ingkh.de/,hessen,,,Kammer,,,,,
,Ingenieurkammer Mecklenburg-Vorpommern,info@ingenieurkammer-mv.de,http://www.ingenieurkammer-mv.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Ingenieurkammer Niedersachsen,kammer@ingenieurkammer.de,http://www.ingenieurkammer.de/cms/index.php,niedersachsen,,,Kammer,,,,,
,Ingenieurkammer Nordrhein-Westfalen,info@ikbaunrw.de,http://www.ikbaunrw.de,nrw,,,Kammer,,,,,
,Ingenieurkammer Schleswig-Holstein,info@aik-sh.de,http://www.aik-sh.de/,schleswig-holstein,,,Kammer,,,,,
,Ingenieurkammer Thüringen,info@ikth.de,http://www.ingenieure-thueringen.de/,thueringen,,,Kammer,,,,,
,Landwirtschaftskammer Bremen,bredemeier@lwk-bremen.de,http://www.lwk-bremen.de/,bremen,,,Kammer,,,,,
,Landwirtschaftskammer Niedersachsen,info@lwk-niedersachsen.de,http://www.lwk-niedersachsen.de/,niedersachsen,,,Kammer,,,,,
,Landwirtschaftskammer Nordrhein-Westfalen,info@lwk.nrw.de,http://www.landwirtschaftskammer.de/,nrw,,,Kammer,,,,,
,Landwirtschaftskammer Schleswig-Holstein,lksh@lksh.de,http://www.lksh.de,schleswig-holstein,,,Kammer,,,,,
,Lotsenbrüderschaft Elbe,lbe-hamburg@elbe-pilot.de,http://www.elbe-pilot.de,hamburg,,,Kammer,,,,,
,Lotsenbrüderschaft Emden,office@emspilots.de,http://www.emspilots.de,niedersachsen,,,Kammer,,,,,
,Lotsenbrüderschaft Nord-Ostsee-Kanal I,office@pilotservices.de,http://www.pilotservices.de/,niedersachsen,,,Kammer,,,,,
,"Lotsenbrüderschaft Nord-Ostsee-Kanal II, Kiel, Lübeck, Flensburg",office@kielpilot.de,http://www.kielpilot.de/,niedersachsen,,,Kammer,,,,,
,Lotsenbrüderschaft Weser I,info@weserriverpilot.com,http://www.weserriverpilot.com/,bremen,,,Kammer,,,,,
,"Lotsenbrüderschaft Wismar, Rostock, Stralsund",info@rostockpilot.de,http://www.wismar-rostock-stralsund-pilots.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Notarkammer Baden-Württemberg,notarkammer.baden-wuerttemberg@notarnet.de,http://www.notarkammer-baden-wuerttemberg.de/,baden-wurttemberg,,,Kammer,,,,,
,Notarkammer Bayern,notarkammer@notarkasse.de,http://www.notare.bayern.de/,bayern,,,Kammer,,,,,
,Notarkammer Berlin,info@notarkammer-berlin.de,http://www.notarkammer-berlin.de/,berlin,,,Kammer,,,,,
,Notarkammer Brandenburg,sekretariat@notarkammer-brandenburg.de,http://www.notarkammer-brandenburg.de/,brandenburg,,,Kammer,,,,,
,Notarkammer Braunschweig,nfo@notarkammer-braunschweig.de,http://www.anwaltsnotarkammern.de/braunschweig-_64.html,niedersachsen,,,Kammer,,,,,
,Notarkammer Bremen,kontakt@notk-bremen.de,http://www.anwaltsnotarkammern.de/bremen-_65.html,bremen,,,Kammer,,,,,
,Notarkammer Celle,kontakt@celle-notarkammer.de,http://www.anwaltsnotarkammern.de/celle-_66.html,niedersachsen,,,Kammer,,,,,
,Notarkammer Frankfurt a. M.,info@notarkammer-ffm.de,http://www.notarkammer-ffm.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Notarkammer Hamburg,info@hamburgische-notarkammer.de,http://www.hamburgische-notarkammer.de/,niedersachsen,,,Kammer,,,,,
,Notarkammer Kassel,notk@notarkammer-kassel.de,http://www.notarkammer-kassel.de/,hessen,,,Kammer,,,,,
,Notarkammer Koblenz,info@notarkammer-koblenz.de,http://www.notarkammer-koblenz.de/,rheinland-pfalz,,,Kammer,,,,,
,Notarkammer Mecklenburg-Vorpommern,notk-mv@notarnet.de,http://www.notarkammer-mv.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Notarkammer Oldenburg,info@notk-oldenburg.de,http://www.notk-oldenburg.de/,niedersachsen,,,Kammer,,,,,
,Notarkammer Pfalz,notarkammer.pfalz@notarnet.de,http://www.notare.rlp.de/,rheinland-pfalz,,,Kammer,,,,,
,Notarkammer Rheinland,info@rhnotk.de,http://www.rhnotk.de/,rheinland-pfalz,,,Kammer,,,,,
,Notarkammer Saarland,post@notare-saarland.de,http://www.notare-saarland.de/,saarland,,,Kammer,,,,,
,Notarkammer Sachsen,notarkammer@notarkammer-sachsen.de,http://www.notarkammer-sachsen.de/,sachsen,,,Kammer,,,,,
,Notarkammer Sachsen-Anhalt,notarkammer.sachsen-anhalt@notarnet.de,http://www.notarkammer-sachsen-anhalt.de/,sachsen-anhalt,,,Kammer,,,,,
,Notarkammer Schleswig-Holstein,info@notk-sh.de,http://www.anwaltsnotariat.net/,schleswig-holstein,,,Kammer,,,,,
,Notarkammer Thüringen,NotarkammerThuer@aol.com,http://www.notarkammer-thueringen.de/,thueringen,,,Kammer,,,,,
,Notarkammer Westfalen,info@westfaelische-notarkammer.de,http://www.westfaelische-notarkammer.de/,nrw,,,Kammer,,,,,
,Patentanwaltskammer,dpak@patentanwalt.de,http://www.patentanwalt.de/,bund,,,Kammer,,,,,
,Psychotherapeutenkammer Baden-Württemberg,info@lpk-bw.de,www.lpk-bw.de,baden-wurttemberg,,,Kammer,,,,,
,Psychotherapeutenkammer Bayern,info@ptk-bayern.de,www.ptk-bayern.de,bayern,,,Kammer,,,,,
,Psychotherapeutenkammer Berlin,info@psychotherapeutenkammer-berlin.de,www.psychotherapeutenkammer-berlin.de,berlin,,,Kammer,,,,,
,Psychotherapeutenkammer Bremen,verwaltung@pk-hb.de,www.lpk-hb.de,bremen,,,Kammer,,,,,
,Psychotherapeutenkammer Hessen,post@ptk-hessen.de,www.psychotherapeutenkammer-hessen.de,hessen,,,Kammer,,,,,
,Psychotherapeutenkammer Niedersachsen,info@pknds.de,www.pk-nds.de,niedersachsen,,,Kammer,,,,,
,Psychotherapeutenkammer Nordrhein-Westfalen,info@ptk-nrw.de,www.ptk-nrw.de,nrw,,,Kammer,,,,,
,Psychotherapeutenkammer Ostdeutschland,info@opk-info.de,http://www.opk-info.de/,bund,,,Kammer,,,,,
,Psychotherapeutenkammer Rheinland-Pfalz,service@lpk-rlp.de,www.lpk-rlp.de,rheinland-pfalz,,,Kammer,,,,,
,Psychotherapeutenkammer Saarland,kontakt@ptk-saar.de,www.ptk-saar.de,saarland,,,Kammer,,,,,
,Psychotherapeutenkammer Schleswig-Holstein,Info@pksh.de,www.pksh.de,schleswig-holstein,,,Kammer,,,,,
,Rechtsanwaltskammer Bamberg,info@rakba.de,www.rakba.de,bayern,,,Kammer,,,,,
,Rechtsanwaltskammer beim Bundesgerichtshof,kontakt@rak-bgh.de,www.rak-bgh.de,bund,,,Kammer,,,,,
,Rechtsanwaltskammer Brandenburg,info@rak-brb.de,www.rak-brb.de,brandenburg,,,Kammer,,,,,
,Rechtsanwaltskammer Braunschweig,info@rak-braunschweig.de,www.rak-braunschweig.de,niedersachsen,,,Kammer,,,,,
,Rechtsanwaltskammer Düsseldorf,info@rechtsanwaltskammer-duesseldorf.de,www.rechtsanwaltskammer-duesseldorf.de,nrw,,,Kammer,,,,,
,Rechtsanwaltskammer Frankfurt a. M.,info@rechtsanwaltskammer-ffm.de,www.rechtsanwaltskammer-ffm.de,hessen,,,Kammer,,,,,
,Rechtsanwaltskammer Hanseatische Bremen,kontakt@rak-bremen.de,www.rak-bremen.de,bremen,,,Kammer,,,,,
,Rechtsanwaltskammer Hanseatische Hamburg,info@rechtsanwaltskammerhamburg.de,www.rak-hamburg.de,hamburg,,,Kammer,,,,,
,Rechtsanwaltskammer Kassel,rak@rechtsanwaltskammer-kassel.de,www.rechtsanwaltskammer-kassel.de,hessen,,,Kammer,,,,,
,Rechtsanwaltskammer Köln,kontakt@rak-koeln.de,www.rak-koeln.de,nrw,,,Kammer,,,,,
,Rechtsanwaltskammer Mecklenburg-Vorpommern,info@rak-mv.de,www.rak-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Rechtsanwaltskammer München,info@rak-muenchen.de,www.rak-muenchen.de,munchen,,,Kammer,,,,,
,Rechtsanwaltskammer Nürnberg,info@rak-nbg.de,www.rak-nbg.de,nurnberg,,,Kammer,,,,,
,Rechtsanwaltskammer Sachsen,info@rak-sachsen.de,www.rak-sachsen.de,sachsen,,,Kammer,,,,,
,Rechtsanwaltskammer Sachsen-Anhalt,info@rak-sachsen-anhalt.de,www.rak-sachsen-anhalt.de,sachsen-anhalt,,,Kammer,,,,,
,Rechtsanwaltskammer Schleswig-Holstein,info@rak-sh.de,www.rak-sh.de,schleswig-holstein,,,Kammer,,,,,
,Rechtsanwaltskammer Tübingen,info@rak-tuebingen.de,www.rak-tuebingen.de,baden-wurttemberg,,,Kammer,,,,,
,Rechtsanwaltskammer Zweibrücken,zentrale@rak-zw.de,www.rak-zw.de,baden-wurttemberg,,,Kammer,,,,,
,Steuerberaterkammer Brandenburg,info@stbk-brandenburg.de,http://www.stbk-brandenburg.de,brandenburg,,,Kammer,,,,,
,Steuerberaterkammer Bremen,info@stbkammer-bremen.de,http://www.stbkammer-bremen.de,bremen,,,Kammer,,,,,
,Steuerberaterkammer Düsseldorf,mail@stbk-duesseldorf.de,http://www.stbk-duesseldorf.de,nrw,,,Kammer,,,,,
,Steuerberaterkammer Hessen,geschaeftsstelle@stbk-hessen.de,http://www.stbk-hessen.de,hessen,,,Kammer,,,,,
,Steuerberaterkammer Köln,mail@stbk-koeln.de,http://www.stbk-koeln.de,nrw,,,Kammer,,,,,
,Steuerberaterkammer Mecklenburg-Vorpommern,mail@stbk-mv.de,http://www.stbk-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Steuerberaterkammer München,info@stbk-muc.de,http://www.stbk-muc.de,munchen,,,Kammer,,,,,
,Steuerberaterkammer Niedersachsen,info@stbk-niedersachsen.de,http://www.stbk-niedersachsen.de,niedersachsen,,,Kammer,,,,,
,Steuerberaterkammer Nürnberg,info@stbk-nuernberg.de,www.stbk-nuernberg.de,nurnberg,,,Kammer,,,,,
,Steuerberaterkammer Rheinland-Pfalz,info@sbk-rlp.de,www.sbk-rlp.de,rheinland-pfalz,,,Kammer,,,,,
,Steuerberaterkammer Saarland,stbk@stbk-saarland.de,http://www.stbk-saarland.de,saarland,,,Kammer,,,,,
,Steuerberaterkammer Sachsen,kammer@sbk-sachsen.de,http://www.sbk-sachsen.de,sachsen,,,Kammer,,,,,
,Steuerberaterkammer Schleswig-Holstein,info@stbk-sh.de,http://www.stbk-sh.de,schleswig-holstein,,,Kammer,,,,,
,Steuerberaterkammer Thüringen,info@stbk-thueringen.de,http://www.stbk-thueringen.de,thueringen,,,Kammer,,,,,
,Steuerberaterkammer Westfalen-Lippe,mail@stbk-westfalen-lippe.de,http://www.stbk-westfalen-lippe.de,nrw,,,Kammer,,,,,
,Tierärztekammer Baden-Württemberg,info@ltk-bw.de,http://www.ltk-bw.de,baden-wurttemberg,,,Kammer,,,,,
,Tierärztekammer Bayern,kontakt@bltk.de,http://www.bltk.de,bayern,,,Kammer,,,,,
,Tierärztekammer Brandenburg,kontakt@ltk-brandenburg.de,http://www.ltk-brandenburg.de,brandenburg,,,Kammer,,,,,
,Tierärztekammer Bremen,Elisabeth.Oltmann@veterinaer.bremen.de,http://www.bundestieraerztekammer.de/index_ltk_bremen.php,bremen,,,Kammer,,,,,
,Tierärztekammer Hessen,info@ltk-hessen.de,http://www.LTK-Hessen.de,hessen,,,Kammer,,,,,
,Tierärztekammer Mecklenburg-Vorpommern,LTK.MV@t-online.de,http://www.landestieraerztekammer-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Tierärztekammer Niedersachsen,mail@tknds.de,http://www.tknds.de,niedersachsen,,,Kammer,,,,,
,Tierärztekammer Nordrhein-Westfalen,info@tieraerztekammer-nordrhein.de,http://www.tieraerztekammer-nordrhein.de,nrw,,,Kammer,,,,,
,Tierärztekammer Rheinland-Pfalz,ltk.rheinland.pfalz@t-online.de,http://ltk-rlp.de/,rheinland-pfalz,,,Kammer,,,,,
,Tierärztekammer Sachsen-Anhalt,poststelle@taek-lsa.de,http://www.tieraerztekammer-sachsen-anhalt.de,sachsen-anhalt,,,Kammer,,,,,
,Tierärztekammer Schleswig-Holstein,Schleswig-Holstein@tieraerztekammer.de,http://www.tieraerztekammer-schleswig-holstein.de,schleswig-holstein,,,Kammer,,,,,
,Tierärztekammer Thüringen,ltk_thuer@t-online.de,http://www.landestieraerztekammer-thueringen.de,thueringen,,,Kammer,,,,,
,Wirtschaftsprüferkammer,kontakt@wpk.de,http://www.wpk.de,bund,,,Kammer,,,,,
,Zahnärztekammer Baden-Württemberg,info@lzk-bw.de,http://www.lzkbw.de/,baden-wurttemberg,,,Kammer,,,,,
,Zahnärztekammer Bayern,blzk@blzk.de,http://www.blzk.de/,bayern,,,Kammer,,,,,
,Zahnärztekammer Brandenburg,info@lzkb.de,http://www.lzkb.de/,brandenburg,,,Kammer,,,,,
,Zahnärztekammer Bremen,info@zaek-hb.de,http://www.zaek-hb.de/,bremen,,,Kammer,,,,,
,Zahnärztekammer Hessen,box@lzkh.de,http://www.lzkh.de/,hessen,,,Kammer,,,,,
,Zahnärztekammer Mecklenburg-Vorpommern,sekretariat@zaekmv.de,http://www.zaekmv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Zahnärztekammer Niedersachsen,info@zkn.de,http://www.zkn.de,niedersachsen,,,Kammer,,,,,
,Zahnärztekammer Nordrhein,info@zaek-nr.de,http://www.zahnaerztekammernordrhein.de/,nrw,,,Kammer,,,,,
,Zahnärztekammer Rheinland-Pfalz,geschaeftsstelle@lzk.de,http://lzk-rheinland-pfalz.de/,rheinland-pfalz,,,Kammer,,,,,
,Zahnärztekammer Saarland,mail@zaek-saar.de,http://www.zaek-saarland.de/,saal,,,Kammer,,,,,
,Zahnärztekammer Sachsen,vorstand@kzv-sachsen.de,http://www.zahnaerzte-in-sachsen.de/,sachsen,,,Kammer,,,,,
,Zahnärztekammer Sachsen-Anhalt,info@zahnaerztekammer-sah.de,http://www.zaek-sa.de,sachsen-anhalt,,,Kammer,,,,,
,Zahnärztekammer Schleswig-Holstein,central@zaek-sh.de,http://www.zahnaerztekammer-sh.de/,schleswig-holstein,,,Kammer,,,,,
,Zahnärztekammer Thüringen,h.neukoetter@lzkth.de,http://www.lzkth.de/,thueringen,,,Kammer,,,,,
,Zahnärztekammer Westfalen-Lippe,ZAEKWL@t-online.de,http://www.zahnaerzte-wl.de/,nrw,,,Kammer,,,,,
HWK Aachen,Handwerkskammer Aachen,info@hwk-aachen.de,,nrw,,,Kammer,,,,,
HWK Arnsberg/Südwestfalen,Handwerkskammer Arnsberg/Südwestfalen,info@hwk-suedwestfalen.de,,nrw,,,Kammer,,,,,
HWK Augsburg/Schwaben,Handwerkskammer Augsburg/Schwaben,uwagner@hwk-schwaben.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Aurich/Ostfriesland,Handwerkskammer Aurich/Ostfriesland,p.kromminga@hwk-aurich.de,,niedersachsen,,,Kammer,,,,,
HWK Ostwestfalen-Lippe zu Bielefeld,Handwerkskammer Ostwestfalen-Lippe zu Bielefeld,michael.heesing@handwerk-owl.de,,nrw,,,Kammer,,,,,
HWK Bayreuth/Oberfranken,Handwerkskammer Bayreuth/Oberfranken,horst.eggers@hwk-oberfranken.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Braunschweig-Lüneburg-Stade,Handwerkskammer Braunschweig-Lüneburg-Stade,hoeft@hwk-bls.de,,niedersachsen,,,Kammer,,,,,
HWK Bremen,Handwerkskammer Bremen,service@hwk-bremen.de,,bremen,,,Kammer,,,,,
HWK Cottbus,Handwerkskammer Cottbus,deutscher@hwk-cottbus.de,,brandenburg,,,Kammer,,,,,
HWK Dortmund,Handwerkskammer Dortmund,info@hwk-do.de,,nrw,,,Kammer,,,,,
HWK Düsseldorf,Handwerkskammer Düsseldorf,georg.cramer@hwk-duesseldorf.de,,nrw,,,Kammer,,,,,
HWK Erfurt,Handwerkskammer Erfurt,info@hwk-erfurt.de,,thueringen,,,Kammer,,,,,
HWK Frankfurt a. M.,Handwerkskammer Frankfurt a. M.,hgf@hwk-rhein-main.de,,nrw,,,Kammer,,,,,
HWK Frankfurt/Oder Region Ostbrandenburg,Handwerkskammer Frankfurt/Oder Region Ostbrandenburg,hgf@hwk-ff.de,,hessen,,,Kammer,,,,,
HWK Flensburg,Handwerkskammer Flensburg,info@hwk-flensburg.de,,schleswig-holstein,,,Kammer,,,,,
HWK Gera/Ostthüringen,Handwerkskammer Gera/Ostthüringen,info@hwk-gera.de,,thueringen,,,Kammer,,,,,
HWK Hildesheim-Südniedersachsen,Handwerkskammer Hildesheim-Südniedersachsen,hgf@hwk-hildesheim.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Halle (Saale),Handwerkskammer Halle (Saale),Leitung@hwkhalle.de,,sachsen-anhalt,,,Kammer,,,,,
HWK Kassel,Handwerkskammer Kassel,info@hwk-kassel.de,,hessen,,,Kammer,,,,,
HWK Koblenz,Handwerkskammer Koblenz,Alexander.Baden@hwk-koblenz.de,,rheinland-pfalz,,,Kammer,,,,,
HWK Köln,Handwerkskammer Köln,info@hwk-koeln.de,,nrw,,,Kammer,,,,,
HWK Kaiserslautern/Pfalz,Handwerkskammer Kaiserslautern/Pfalz,rhellrich@hwk-pfalz.de,,rheinland-pfalz,,,Kammer,,,,,
HWK Lübeck,Handwerkskammer Lübeck,akatschke@hwk-luebeck.de,,niedersachsen,,,Kammer,,,,,
HWK Mainz,Handwerkskammer Mainz,j.diehl@hwk.de,,rheinland-pfalz,,,Kammer,,,,,
HWK München und Oberbayern,Handwerkskammer München und Oberbayern,lothar.semper@hwk-muenchen.de,,munchen,,,Kammer,,,,,
HWK Münster,Handwerkskammer Münster,hermann.eiling@hwk-muenster.de,,nrw,,,Kammer,,,,,
HWK Neubrandenburg / Rostock,Handwerkskammer Neubrandenburg / Rostock,alder.claudia@hwk-omv.de,,brandenburg,,,Kammer,,,,,
HWK Nürnberg/Mittelfranken,Handwerkskammer Nürnberg/Mittelfranken,info@hwk-mittelfranken.de,,bayern,,,Kammer,,,,,
"HWK Passau / Niederbayern, Oberpfalz","Handwerkskammer Passau / Niederbayern, Oberpfalz",toni.hinterdobler@hwkno.de,,passau,,,Kammer,,,,,
HWK Potsdam,Handwerkskammer Potsdam,heidi.goldmann@hwkpotsdam.de,,brandenburg,,,Kammer,,,,,
HWK Schwerin,Handwerkskammer Schwerin,e.hummelsheim@hwk-schwerin.de,,mecklenburg-vorpommern,,,Kammer,,,,,
HWK Region Stuttgart,Handwerkskammer Region Stuttgart,claus.munkwitz@hwk-stuttgart.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Suhl / Südthüringen,Handwerkskammer Suhl / Südthüringen,Friedhelm.Enke@hwk-suedthueringen.de,,thueringen,,,Kammer,,,,,
HWK Trier,Handwerkskammer Trier,mbitter@hwk-trier.de,,rheinland-pfalz,,,Kammer,,,,,
HWK Wiesbaden,Handwerkskammer Wiesbaden,harald.brandes@hwk-wiesbaden.de,,hessen,,,Kammer,,,,,
HWK Würzburg/Unterfranken,Handwerkskammer Würzburg/Unterfranken,r.lauer@hwk-ufr.de,,bayern,,,Kammer,,,,,
IHK Aachen,Industrie- und Handelskammer Aachen,hgf@aachen.ihk.de,,nrw,,,Kammer,,,,,
IHK Arnsberg,Industrie- und Handelskammer Arnsberg,ihk@arnsberg.ihk.de,,bayern,,,Kammer,,,,,
IHK Aschaffenburg,Industrie- und Handelskammer Aschaffenburg,heinbuecher@aschaffenburg.ihk.de,,bayern,,,Kammer,,,,,
IHK Augsburg,Industrie- und Handelskammer Augsburg,info@schwaben.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Bayreuth,Industrie- und Handelskammer Bayreuth,degen@bayreuth.ihk.de,,bayern,,,Kammer,,,,,
IHK Bielefeld,Industrie- und Handelskammer Bielefeld,j.behlke@ostwestfalen.ihk.de,,nrw,,,Kammer,,,,,
IHK Bochum,Industrie- und Handelskammer Bochum,burghaus@bochum.ihk.de,,nrw,,,Kammer,,,,,
IHK Bonn,Industrie- und Handelskammer Bonn,hille@bonn.ihk.de,,nrw,,,Kammer,,,,,
IHK Braunschweig,Industrie- und Handelskammer Braunschweig,Bernd.Meier@braunschweig.ihk.de,,niedersachsen,,,Kammer,,,,,
IHK Bremen,Industrie- und Handelskammer Bremen,fonger@handelskammer-bremen.de,,bremen,,,Kammer,,,,,
IHK Coburg,Industrie- und Handelskammer Coburg,patricia.leistner-wolf@coburg.ihk.de,,bayern,,,Kammer,,,,,
IHK Cottbus,Industrie- und Handelskammer Cottbus,krueger@cottbus.ihk.de,,brandenburg,,,Kammer,,,,,
IHK Darmstadt,Industrie- und Handelskammer Darmstadt,hauptgeschaeftsfuehrung@darmstadt.ihk.de,,hessen,,,Kammer,,,,,
IHK Detmold,Industrie- und Handelskammer Detmold,dahmen@detmold.ihk.de,,nrw,,,Kammer,,,,,
IHK Lahn-Dill,Industrie- und Handelskammer Lahn-Dill,tielmann@lahndill.ihk.de,,nrw,,,Kammer,,,,,
IHK Dortmund,Industrie- und Handelskammer Dortmund,r.schulz@dortmund.ihk.de,,nrw,,,Kammer,,,,,
IHK Duisburg,Industrie- und Handelskammer Duisburg,behrens@niederrhein.ihk.de,,nrw,,,Kammer,,,,,
IHK Düsseldorf,Industrie- und Handelskammer Düsseldorf,mahn@duesseldorf.ihk.de,,nrw,,,Kammer,,,,,
IHK Emden,Industrie- und Handelskammer Emden,stefan.claus@emden.ihk.de,,niedersachsen,,,Kammer,,,,,
IHK Essen,Industrie- und Handelskammer Essen,heike.husung@essen.ihk.de,,nrw,,,Kammer,,,,,
IHK Flensburg,Industrie- und Handelskammer Flensburg,service@flensburg.ihk.de,,schleswig-holstein,,,Kammer,,,,,
